d000.s000.t000 bn:00106124a
d000.s039.t007 bn:00046568n
d000.s039.t008 bn:00068799n
d000.s040.t000 bn:00027452n
d000.s040.t001 bn:00115274r
d000.s040.t002 bn:00106995a
d000.s040.t003 bn:00055644n
d000.s040.t004 bn:00073699n
d000.s040.t005 bn:00079079n
d000.s040.t006 bn:00083414v
d000.s040.t007 bn:00114626r
d000.s040.t008 bn:00096109a
d000.s040.t009 bn:00030618n
d000.s041.t000 bn:00094560v
d000.s041.t001 bn:00102576a
d000.s041.t002 bn:00073699n
d000.s041.t003 bn:00078318n
d000.s042.t000 bn:00082705v
d000.s042.t001 bn:00079724n
d000.s042.t002 bn:00047691n
d000.s042.t003 bn:00082481v
d000.s042.t004 bn:00091493v
d000.s042.t005 bn:00064646n
d000.s043.t000 bn:00085261v
d000.s043.t001 bn:00023286n
d000.s043.t002 bn:00022995n
d000.s043.t003 bn:00085644v
d000.s043.t004 bn:00000667n
d000.s043.t005 bn:00015795n
d000.s044.t000 bn:00082705v
d000.s044.t001 bn:00060698n
d000.s044.t002 bn:00007017n
d000.s044.t003 bn:00092816v
d000.s044.t004 bn:00097824a
d000.s044.t005 bn:00060698n
d000.s044.t006 bn:00037486n
d000.s045.t000 bn:00106108a
d000.s045.t001 bn:00014084n
d000.s045.t002 bn:00087714v
d000.s045.t003 bn:00085644v
d000.s045.t004 bn:00014091n
d000.s045.t005 bn:00046568n
d000.s046.t000 bn:00088643v
d000.s046.t001 bn:00046568n
d000.s046.t002 bn:00078004n
d000.s046.t003 bn:00092816v
d000.s046.t004 bn:00097846a
d000.s046.t005 bn:00109212a bn:00109211a
d000.s046.t006 bn:00078004n
d000.s047.t000 bn:00082705v
d000.s047.t001 bn:00021286n
d000.s047.t002 bn:00078004n
d000.s047.t003 bn:00066028n
d000.s047.t004 bn:00089238v
d000.s047.t005 bn:00080115n
d000.s047.t006 bn:00014407n
d000.s047.t007 bn:00083181v
d000.s047.t008 bn:00099557a
d000.s048.t000 bn:00102049a
d000.s048.t001 bn:00107182a
d000.s048.t002 bn:00083181v
d000.s048.t003 bn:00021286n
d000.s048.t004 bn:00079675n
d000.s049.t000 bn:00092866v
d000.s050.t000 bn:00108287a
d000.s050.t001 bn:00028795n
d000.s050.t002 bn:00082857v
d000.s050.t003 bn:00108011a
d000.s050.t004 bn:00109059a
d000.s050.t005 bn:00081568n
d000.s051.t000 bn:00083181v
d000.s051.t001 bn:00116284r
d000.s051.t002 bn:00102003a
d000.s051.t003 bn:00046568n
d000.s051.t004 bn:00044415n
d000.s051.t005 bn:00019944n
d000.s051.t006 bn:00110425a
d000.s051.t007 bn:00044415n
d000.s051.t008 bn:00082822v
d000.s051.t009 bn:00102499a
d000.s051.t010 bn:00030618n
d000.s051.t011 bn:00044415n
d000.s051.t012 bn:00007837n
d000.s052.t000 bn:00044415n
d000.s052.t001 bn:00094068v
d000.s052.t002 bn:00095905a
d000.s052.t003 bn:00014710n
d000.s052.t004 bn:00090804v
d000.s052.t005 bn:00034394n
d000.s052.t006 bn:00030618n
d000.s052.t007 bn:00007837n
d000.s053.t000 bn:00089773v
d000.s053.t001 bn:00112990a
d000.s053.t002 bn:00029416n
d000.s053.t003 bn:00030618n
d000.s053.t004 bn:00091131v
d000.s053.t005 bn:00044415n
d000.s053.t006 bn:00046568n
d000.s053.t007 bn:00019944n
d000.s054.t000 bn:00068916n
d000.s054.t001 bn:00065271n
d000.s054.t002 bn:00087106v
d000.s054.t003 bn:00086154v
d000.s054.t004 bn:00059308n
d000.s054.t005 bn:00026581n
d000.s054.t006 bn:00066489n
d000.s054.t007 bn:00044415n
d000.s054.t008 bn:00019944n
d000.s054.t009 bn:00061605n
d000.s055.t000 bn:00097433a
d000.s055.t001 bn:00067456n
d000.s055.t002 bn:00001936n
d000.s055.t003 bn:00114117r
d000.s055.t004 bn:00085851v
d000.s055.t005 bn:00046568n
d000.s055.t006 bn:00055644n
d000.s056.t000 bn:00035907n
d000.s056.t001 bn:00007011n
d000.s056.t002 bn:00087106v
d000.s056.t003 bn:00082812v
d000.s056.t004 bn:00107786a
d000.s056.t005 bn:00101440a
d000.s056.t006 bn:00081593n
d000.s056.t007 bn:00083181v
d000.s056.t008 bn:00115474r
d000.s056.t009 bn:00109059a
d000.s057.t000 bn:00101935a
d000.s057.t001 bn:00067456n
d000.s057.t002 bn:00107504a
d000.s057.t003 bn:00101440a
d000.s057.t004 bn:00030618n
d000.s057.t005 bn:00084079v
d000.s057.t006 bn:00034394n
d000.s057.t007 bn:00014199n
d000.s057.t008 bn:00014138n
d000.s058.t000 bn:00013379n
d000.s058.t001 bn:00082199v
d000.s058.t002 bn:00044110n
d000.s058.t003 bn:00021570n
d000.s058.t004 bn:00082857v
d000.s058.t005 bn:00081568n
d000.s058.t006 bn:00107786a
d000.s058.t007 bn:00101440a
d000.s058.t008 bn:00030618n
d000.s059.t000 bn:00093574v
d000.s059.t001 bn:00106554a
d000.s059.t002 bn:00032645n
d000.s059.t003 bn:00073801n
d000.s059.t004 bn:00046568n
d000.s060.t000 bn:00089240v
d000.s060.t001 bn:00103412a
d000.s060.t002 bn:00027976n
d000.s060.t003 bn:00116381r
d000.s060.t004 bn:00092816v
d000.s060.t005 bn:00108287a
d000.s060.t006 bn:00027976n
d000.s060.t007 bn:00093509v
d000.s060.t008 bn:00033939n
d000.s060.t009 bn:00016406n
d000.s060.t010 bn:00008870n
d000.s060.t011 bn:00114234r
d000.s061.t000 bn:00046568n
d000.s061.t001 bn:00058325n
d000.s061.t002 bn:00092816v
d000.s061.t003 bn:00034749n
d000.s061.t004 bn:00053097n
d000.s061.t005 bn:00087128v
d000.s061.t006 bn:00115475r
d000.s061.t007 bn:00097165a
d000.s061.t008 bn:00006513n
d000.s062.t000 bn:00114594r
d000.s062.t001 bn:00086799v
d000.s062.t002 bn:00014138n
d000.s062.t003 bn:00014138n
d000.s062.t004 bn:00096599a
d000.s062.t005 bn:00043369n
d000.s062.t006 bn:00082959v
d000.s062.t007 bn:00084532v
d000.s063.t000 bn:00114328r
d000.s063.t001 bn:00091135v
d000.s063.t002 bn:00112990a
d000.s063.t003 bn:00106554a
d000.s063.t004 bn:00070677n
d000.s063.t005 bn:00035412n
d000.s063.t006 bn:00046787n
d000.s063.t007 bn:00075171n
d000.s063.t008 bn:00049804n
d000.s063.t009 bn:00047235n
d000.s064.t000 bn:00089240v
d000.s064.t001 bn:00109635a
d000.s064.t002 bn:00108566a
d000.s064.t003 bn:00032093n
d000.s064.t004 bn:00064646n
d000.s064.t005 bn:00083181v
d000.s064.t006 bn:00113945a
d000.s064.t007 bn:00085851v
d000.s065.t000 bn:00085650v
d000.s065.t001 bn:00082441v
d000.s065.t002 bn:00087372v
d000.s065.t003 bn:00030721n
d000.s065.t004 bn:00083182v
d000.s065.t005 bn:00087732v
d000.s065.t006 bn:00092979v
d000.s065.t007 bn:00030618n
d000.s065.t008 bn:00009904n
d000.s065.t009 bn:00064646n
d000.s066.t000 bn:00115274r
d000.s066.t001 bn:00106408a
d000.s066.t002 bn:00046568n
d000.s066.t003 bn:00036837n
d000.s066.t004 bn:00083181v
d000.s066.t005 bn:00114223r
d000.s066.t006 bn:00101930a
d000.s066.t007 bn:00084331v
d000.s066.t008 bn:00060109n
d000.s066.t009 bn:00062759n
d000.s066.t010 bn:00046999n
d000.s066.t011 bn:00114626r
d000.s066.t012 bn:00082291v
d000.s066.t013 bn:00046568n
d000.s067.t000 bn:00115244r
d000.s067.t001 bn:00108011a
d000.s067.t002 bn:00046568n
d000.s067.t003 bn:00087576v
d000.s067.t004 bn:00105978a
d000.s067.t005 bn:00058285n
d000.s067.t006 bn:00081593n
d000.s067.t007 bn:00086013v
d000.s067.t008 bn:00110075a
d000.s067.t009 bn:00064584n
d000.s067.t010 bn:00083184v
d000.s067.t011 bn:00108011a
d000.s067.t012 bn:00032654n
d000.s067.t013 bn:00085650v
d000.s068.t000 bn:00083181v
d000.s068.t001 bn:00107839a
d000.s068.t002 bn:00035770n
d000.s069.t000 bn:00041871n
d000.s070.t000 bn:00070192n
d000.s070.t001 bn:00023235n
d000.s070.t002 bn:00083183v
d000.s070.t003 bn:00106113a
d000.s071.t000 bn:00083183v
d000.s071.t001 bn:00109997a
d000.s071.t002 bn:00063594n
d000.s072.t000 bn:00032661n
d000.s072.t001 bn:00086008v
d000.s072.t002 bn:00027022n
d000.s072.t003 bn:00027728n
d000.s072.t004 bn:00029890n
d000.s072.t005 bn:00009904n
d000.s072.t006 bn:00062759n
d000.s073.t000 bn:00114082r
d000.s073.t001 bn:00102655a
d000.s073.t002 bn:00036574n
d000.s073.t003 bn:00114626r
d000.s073.t004 bn:00084040v
d000.s073.t005 bn:00030618n
d000.s073.t006 bn:00041083n
d000.s074.t000 bn:00013379n
d000.s074.t001 bn:00082195v
d000.s074.t002 bn:00036574n
d000.s074.t003 bn:00099313a
d000.s074.t004 bn:00081593n
d000.s074.t005 bn:00091949v
d000.s074.t006 bn:00016448n
d000.s074.t007 bn:00019848n
d000.s075.t000 bn:00082486v
d000.s075.t001 bn:00083046v
d000.s075.t002 bn:00030618n
d000.s075.t003 bn:00009904n
d000.s075.t004 bn:00013882n
d000.s076.t000 bn:00046568n
d000.s076.t001 bn:00088913v
d000.s076.t002 bn:00116506r
d000.s076.t003 bn:00078798n
d000.s076.t004 bn:00036568n
d000.s076.t005 bn:00093288v
d000.s076.t006 bn:00098351a
d000.s076.t007 bn:00067456n
d000.s076.t008 bn:00062759n
d000.s076.t009 bn:00088209v
d000.s076.t010 bn:00113677a
d000.s076.t011 bn:00115192r
d000.s077.t000 bn:00082824v
d000.s077.t001 bn:00013379n
d000.s077.t002 bn:00012327n
d000.s078.t000 bn:00091028v
d000.s078.t001 bn:00023667n
d000.s078.t002 bn:00030618n
d000.s078.t003 bn:00070677n
d000.s078.t004 bn:00062759n
d000.s078.t005 bn:00090294v
d000.s078.t006 bn:00081593n
d000.s078.t007 bn:00085261v
d000.s078.t008 bn:00087690v
d000.s079.t000 bn:00087600v
d000.s079.t001 bn:00087829v
d000.s079.t002 bn:00009905n
d000.s080.t000 bn:00087106v
d000.s080.t001 bn:00056857n
d000.s080.t002 bn:00045019n
d000.s080.t003 bn:00010395n
d000.s080.t004 bn:00110995a
d000.s080.t005 bn:00065106n
d000.s080.t006 bn:00050802n
d000.s080.t007 bn:00081593n
d000.s080.t008 bn:00000356n
d000.s080.t009 bn:00114652r
d000.s080.t010 bn:00017487n
d000.s080.t011 bn:00020941n
d000.s081.t000 bn:00021286n
d000.s081.t001 bn:00088095v
d000.s081.t002 bn:00106059a
d000.s081.t003 bn:00045979n
d000.s081.t004 bn:00104094a
d000.s082.t000 bn:00041942n
d000.s082.t001 bn:00048779n
d000.s082.t002 bn:00055334n
d000.s082.t003 bn:00088078v
d000.s082.t004 bn:00101651a
d000.s082.t005 bn:00065750n
d000.s082.t006 bn:00037180n
d000.s082.t007 bn:00082364v
d000.s082.t008 bn:00030618n
d000.s083.t000 bn:00041942n
d000.s083.t001 bn:00015596n
d000.s083.t002 bn:00088815v
d000.s083.t003 bn:00081593n
d000.s083.t004 bn:00007405n
d000.s083.t005 bn:00017998n
d000.s083.t006 bn:00008378n
d000.s083.t007 bn:00086557v
d000.s083.t008 bn:00003601n
d000.s083.t009 bn:00021286n
d000.s083.t010 bn:00087372v
d000.s083.t011 bn:00108296a
d000.s083.t012 bn:00036568n
d000.s084.t000 bn:00041942n
d000.s084.t001 bn:00041611n
d000.s084.t002 bn:00088825v
d000.s084.t003 bn:00035910n
d000.s084.t004 bn:00087699v
d000.s084.t005 bn:00029680n
d000.s084.t006 bn:00009904n
d000.s085.t000 bn:00098616a
d000.s085.t001 bn:00081593n
d000.s085.t002 bn:00115635r
d000.s085.t003 bn:00085261v
d000.s085.t004 bn:00046996n
d000.s085.t005 bn:00013882n
d000.s085.t006 bn:00115147r
d000.s085.t007 bn:00083193v
d000.s086.t000 bn:00088733v
d000.s086.t001 bn:00046999n
d000.s086.t002 bn:00096707a
d000.s086.t003 bn:00000752n
d000.s086.t004 bn:00026308n
d000.s086.t005 bn:00082598v
d000.s086.t006 bn:00022995n
d000.s086.t007 bn:00046996n
d000.s086.t008 bn:00013882n
d000.s086.t009 bn:00116565r
d000.s087.t000 bn:00086708v
d000.s087.t001 bn:00099474a
d000.s087.t002 bn:00023360n
d000.s087.t003 bn:00083193v
d000.s087.t004 bn:00116295r
d000.s087.t005 bn:00083181v
d000.s087.t006 bn:00115168r
d000.s087.t007 bn:00102521a
d000.s087.t008 bn:00117263r
d000.s087.t009 bn:00082507v
d000.s087.t010 bn:00101236a
d000.s087.t011 bn:00067275n
d000.s088.t000 bn:00082812v
d000.s088.t001 bn:00082813v
d000.s088.t002 bn:00009904n
d000.s088.t003 bn:00107839a
d000.s088.t004 bn:00027407n
d000.s088.t005 bn:00029416n
d000.s088.t006 bn:00090224v
d000.s088.t007 bn:00101412a
d000.s088.t008 bn:00025954n
d000.s088.t009 bn:00115972r
d000.s088.t010 bn:00105225a
d000.s088.t011 bn:00008870n
d000.s088.t012 bn:00029685n
d000.s089.t000 bn:00082705v
d000.s089.t001 bn:00101040a
d000.s089.t002 bn:00046996n
d000.s089.t003 bn:00102521a
d000.s090.t000 bn:00092204v
d000.s090.t001 bn:00025588n
d000.s090.t002 bn:00098703a
d000.s090.t003 bn:00019405n
d000.s090.t004 bn:00091718v
d000.s090.t005 bn:00043172n
d000.s090.t006 bn:00046996n
d000.s090.t007 bn:00017803n
d000.s091.t000 bn:00114246r
d000.s091.t001 bn:00083463v
d000.s091.t002 bn:00107896a
d000.s091.t003 bn:00046997n
d000.s091.t004 bn:00115235r
d000.s091.t005 bn:00106554a
d000.s091.t006 bn:00007985n
d000.s092.t000 bn:00087672v
d000.s092.t001 bn:00019848n
d000.s092.t002 bn:00046355n
d000.s092.t003 bn:00044896n
d000.s092.t004 bn:00017803n
d000.s092.t005 bn:00022995n
d000.s092.t006 bn:00085125v
d000.s092.t007 bn:00033729n
d000.s093.t000 bn:00090224v
d000.s093.t001 bn:00028114n
d000.s093.t002 bn:00017099n
d000.s093.t003 bn:00012419n
d000.s093.t004 bn:00009904n
d000.s094.t000 bn:00088913v
d000.s094.t001 bn:00116506r
d000.s094.t002 bn:00046997n
d000.s094.t003 bn:00091493v
d000.s094.t004 bn:00009904n
d000.s094.t005 bn:00114234r
d000.s094.t006 bn:00025582n
d000.s095.t000 bn:00114634r
d000.s095.t001 bn:00030618n
d000.s095.t002 bn:00115553r
d000.s095.t003 bn:00082722v
d000.s095.t004 bn:00009904n
d000.s095.t005 bn:00092103v
d000.s095.t006 bn:00107839a
d000.s095.t007 bn:00051047n
d000.s095.t008 bn:00067456n
d000.s096.t000 bn:00082538v
d000.s096.t001 bn:00010002n
d000.s096.t002 bn:00050462n
d000.s096.t003 bn:00086468v
d000.s096.t004 bn:00106517a
d000.s096.t005 bn:00077295n
d000.s096.t006 bn:00090397v
d000.s096.t007 bn:00081593n
d000.s096.t008 bn:00066995n
d000.s096.t009 bn:00025523n
d000.s096.t010 bn:00083182v
d000.s096.t011 bn:00090717v
d000.s097.t000 bn:00117048r
d000.s097.t001 bn:00082954v
d000.s097.t002 bn:00021558n
d000.s097.t003 bn:00030618n
d000.s097.t004 bn:00086682v
d000.s097.t005 bn:00096026a
d000.s097.t006 bn:00023333n
d000.s097.t007 bn:00036855n
d000.s098.t000 bn:00114246r
d000.s098.t001 bn:00067807n
d000.s098.t002 bn:00086547v
d000.s098.t003 bn:00020446n
d000.s098.t004 bn:00025584n
d000.s098.t005 bn:00032654n
d000.s098.t006 bn:00114523r
d000.s098.t007 bn:00116326r
d000.s098.t008 bn:00082705v
d000.s099.t000 bn:00020419n
d000.s099.t001 bn:00083181v
d000.s099.t002 bn:00109495a
d000.s099.t003 bn:00021558n
d000.s099.t004 bn:00116360r
d000.s099.t005 bn:00109643a
d000.s100.t000 bn:00079724n
d000.s100.t001 bn:00082530v
d000.s100.t002 bn:00106125a
d000.s100.t003 bn:00044137n
d000.s100.t004 bn:00014561n
d000.s100.t005 bn:00012899n
d000.s100.t006 bn:00027728n
d000.s100.t007 bn:00064590n
d000.s100.t008 bn:00019848n
d000.s101.t000 bn:00020414n
d000.s101.t001 bn:00093472v
d000.s101.t002 bn:00014561n
d000.s101.t003 bn:00082536v
d000.s101.t004 bn:00096109a
d000.s101.t005 bn:00081593n
d000.s101.t006 bn:00026308n
d000.s101.t007 bn:00084061v
d000.s101.t008 bn:00113852a
d000.s101.t009 bn:00041942n
d000.s102.t000 bn:00085649v
d000.s102.t001 bn:00089785v
d000.s102.t002 bn:00097844a
d000.s102.t003 bn:00089309v
d000.s102.t004 bn:00051290n
d000.s102.t005 bn:00064590n
d000.s102.t006 bn:00005517n
