d000.s00000.t00000 bn:00086431v
d000.s00019.t00001 bn:00018105n
d000.s00020.t00000 bn:00058442n
d000.s00020.t00001 bn:00105303a
d000.s00020.t00002 bn:00079109n
d000.s00021.t00000 bn:00005956n
d000.s00022.t00000 bn:00017761n
d000.s00022.t00001 bn:00106602a
d000.s00022.t00002 bn:00009677n
d000.s00023.t00000 bn:00020452n
d000.s00023.t00001 bn:00109195a
d000.s00023.t00002 bn:00061504n
d000.s00023.t00003 bn:00000494n
d000.s00024.t00000 bn:00056037n
d000.s00024.t00001 bn:00009677n
d000.s00024.t00002 bn:00100607a
d000.s00024.t00003 bn:00041881n
d000.s00024.t00004 bn:00030721n
d000.s00024.t00005 bn:00027353n
d000.s00024.t00006 bn:00009657n
d000.s00025.t00000 bn:00007068n
d000.s00025.t00001 bn:00000492n
d000.s00025.t00002 bn:00083391v
d000.s00025.t00003 bn:00099532a
d000.s00025.t00004 bn:00031027n
d000.s00026.t00000 bn:00074009n
d000.s00026.t00001 bn:00099598a
d000.s00027.t00000 bn:00063214n
d000.s00027.t00001 bn:00032426n
d000.s00028.t00000 bn:00035909n
d000.s00029.t00000 bn:00077270n
d000.s00029.t00001 bn:00036941n
d000.s00030.t00000 bn:00046665n
d000.s00030.t00001 bn:00032278n
d000.s00030.t00002 bn:00106006a
d000.s00031.t00000 bn:00104501a
d000.s00031.t00001 bn:00027152n
d000.s00031.t00002 bn:00092837v
d000.s00031.t00003 bn:00079581n
d000.s00031.t00004 bn:00086612v
d000.s00032.t00000 bn:00085337v
d000.s00032.t00001 bn:00062699n
d000.s00032.t00002 bn:00103595a
d000.s00033.t00000 bn:00062167n
d000.s00033.t00001 bn:00061931n
d000.s00033.t00002 bn:00003125n
d000.s00033.t00003 bn:00103716a
d000.s00033.t00004 bn:00074011n
d000.s00034.t00000 bn:00061450n
d000.s00034.t00001 bn:00085337v
d000.s00035.t00000 bn:00041942n
d000.s00035.t00001 bn:00034394n
d000.s00035.t00002 bn:00031027n
d000.s00036.t00000 bn:00066995n
d000.s00036.t00001 bn:00000492n
d000.s00036.t00002 bn:00083391v
d000.s00036.t00003 bn:00099532a
d000.s00036.t00004 bn:00031027n
d000.s00037.t00000 bn:00009677n
d000.s00037.t00001 bn:00061450n
d000.s00038.t00000 bn:00021222n
d000.s00038.t00001 bn:00061450n
d000.s00038.t00002 bn:00041942n
d000.s00039.t00000 bn:00090715v
d000.s00040.t00000 bn:00074009n
d000.s00040.t00001 bn:00062167n
d000.s00040.t00002 bn:00047307n
d000.s00040.t00003 bn:00000494n
d000.s00041.t00000 bn:00001127n
d000.s00042.t00000 bn:00088055v
d000.s00043.t00000 bn:00049573n
d000.s00043.t00001 bn:00064536n
d000.s00044.t00000 bn:00000724n
d000.s00044.t00001 bn:00001127n
d000.s00044.t00002 bn:00082226v
d000.s00045.t00000 bn:00097066a
d000.s00045.t00001 bn:00017562n
d000.s00045.t00002 bn:00007497n
d000.s00046.t00000 bn:00000724n
d000.s00047.t00000 bn:00107627a
d000.s00048.t00000 bn:00000724n
d000.s00048.t00001 bn:00108068a
d000.s00049.t00000 bn:00000724n
d000.s00049.t00001 bn:00082913v
d000.s00050.t00000 bn:00086679v
d000.s00050.t00001 bn:00000724n
d000.s00051.t00000 bn:00001127n
d000.s00052.t00000 bn:00076919n
d000.s00053.t00000 bn:00033729n
d000.s00053.t00001 bn:00001127n
d000.s00054.t00000 bn:00091135v
d000.s00054.t00001 bn:00044738n
d000.s00054.t00002 bn:00001549n
d000.s00055.t00000 bn:00045800n
d000.s00055.t00001 bn:00103595a
d000.s00055.t00002 bn:00009080n
d000.s00056.t00000 bn:00001127n
d000.s00057.t00000 bn:00001127n
d000.s00057.t00001 bn:00107072a
d000.s00057.t00002 bn:00066344n
d000.s00058.t00000 bn:00022112n
d000.s00058.t00001 bn:00047052n
d000.s00059.t00000 bn:00022112n
d000.s00059.t00001 bn:00100895a
d000.s00059.t00002 bn:00112604a
d000.s00060.t00000 bn:00061450n
d000.s00060.t00001 bn:00090448v
d000.s00060.t00002 bn:00115030r
d000.s00061.t00000 bn:00001127n
d000.s00062.t00000 bn:00047052n
d000.s00062.t00001 bn:00107072a
d000.s00062.t00002 bn:00001172n
d000.s00063.t00000 bn:00066532n
d000.s00063.t00001 bn:00107072a
d000.s00063.t00002 bn:00064489n
d000.s00064.t00000 bn:00019383n
d000.s00064.t00001 bn:00033729n
d000.s00064.t00002 bn:00116312r
d000.s00064.t00003 bn:00098243a
d000.s00065.t00000 bn:00110843a
d000.s00065.t00001 bn:00113548a
d000.s00066.t00000 bn:00046516n
d000.s00066.t00001 bn:00041942n
d000.s00067.t00000 bn:00001127n
d000.s00067.t00001 bn:00037182n
d000.s00067.t00002 bn:00006759n
d000.s00067.t00003 bn:00027865n
d000.s00068.t00000 bn:00114626r
d000.s00068.t00001 bn:00082690v
d000.s00069.t00000 bn:00082276v
d000.s00070.t00000 bn:00083222v
d000.s00070.t00001 bn:00018346n
d000.s00071.t00000 bn:00026343n
d000.s00072.t00000 bn:00098827a
d000.s00072.t00001 bn:00104124a
d000.s00073.t00000 bn:00001965n
d000.s00074.t00000 bn:00029881n
d000.s00074.t00001 bn:00054012n
d000.s00074.t00002 bn:00108880a
d000.s00075.t00000 bn:00097350a
d000.s00076.t00000 bn:00112843a
d000.s00077.t00000 bn:00027075n
d000.s00077.t00001 bn:00086818v
d000.s00077.t00002 bn:00014512n
d000.s00077.t00003 bn:00084298v
d000.s00078.t00000 bn:00029239n
d000.s00078.t00001 bn:00109661a
d000.s00079.t00000 bn:00029900n
d000.s00079.t00001 bn:00085395v
d000.s00079.t00002 bn:00007011n
d000.s00079.t00003 bn:00109681a
d000.s00080.t00000 bn:00066598n
d000.s00080.t00001 bn:00088210v
d000.s00080.t00002 bn:00092745v
d000.s00080.t00003 bn:00025170n
d000.s00081.t00000 bn:00061661n
d000.s00081.t00001 bn:00062708n
d000.s00082.t00000 bn:00111281a
d000.s00082.t00001 bn:00100895a
d000.s00082.t00002 bn:00007021n
d000.s00083.t00000 bn:00076924n
d000.s00084.t00000 bn:00100348a
d000.s00085.t00000 bn:00082668v
d000.s00086.t00000 bn:00082668v
d000.s00087.t00000 bn:00000724n
d000.s00087.t00001 bn:00096251a
d000.s00088.t00000 bn:00000724n
d000.s00088.t00001 bn:00105456a
d000.s00089.t00000 bn:00030721n
d000.s00090.t00000 bn:00082788v
d000.s00090.t00001 bn:00062699n
d000.s00091.t00000 bn:00007007n
d000.s00091.t00001 bn:00025966n
d000.s00092.t00000 bn:00005885n
d000.s00093.t00000 bn:00072653n
d000.s00094.t00000 bn:00047303n
d000.s00094.t00001 bn:00030989n
d000.s00094.t00002 bn:00061661n
d000.s00094.t00003 bn:00080851n
d000.s00095.t00000 bn:00047569n
d000.s00095.t00001 bn:00030989n
d000.s00095.t00002 bn:00113616a
d000.s00095.t00003 bn:00111415a
d000.s00096.t00000 bn:00023652n
d000.s00097.t00000 bn:00109211a
d000.s00098.t00000 bn:00016990n
d000.s00098.t00001 bn:00001172n
d000.s00098.t00002 bn:00114297r
d000.s00098.t00003 bn:00111409a
d000.s00099.t00000 bn:00000356n
d000.s00100.t00000 bn:00067152n
d000.s00101.t00000 bn:00061354n
d000.s00102.t00000 bn:00061354n
d000.s00102.t00001 bn:00100092a
d000.s00103.t00000 bn:00054416n
d000.s00103.t00001 bn:00086904v
d000.s00103.t00002 bn:00084331v
d000.s00103.t00003 bn:00019763n
d000.s00103.t00004 bn:00053459n
d000.s00104.t00000 bn:00068266n
d000.s00105.t00000 bn:00058579n
d000.s00106.t00000 bn:00075374n
d000.s00107.t00000 bn:00019219n
d000.s00107.t00001 bn:00006808n
d000.s00107.t00002 bn:00096546a
d000.s00108.t00000 bn:00086603v
d000.s00109.t00000 bn:00026343n
d000.s00110.t00000 bn:00000741n
d000.s00111.t00000 bn:00111415a
d000.s00112.t00000 bn:00007785n
d000.s00113.t00000 bn:00104007a
d000.s00113.t00001 bn:00113057a
d000.s00114.t00000 bn:00054145n
d000.s00115.t00000 bn:00062699n
d000.s00115.t00001 bn:00033729n
d000.s00116.t00000 bn:00046516n
d000.s00116.t00001 bn:00114778r
d000.s00116.t00002 bn:00062700n
d000.s00117.t00000 bn:00000213n
d000.s00117.t00001 bn:00029239n
d000.s00118.t00000 bn:00083961v
d000.s00118.t00001 bn:00082954v
d000.s00118.t00002 bn:00005136n
d000.s00119.t00000 bn:00000428n
d000.s00119.t00001 bn:00106725a
d000.s00120.t00000 bn:00107989a
d000.s00121.t00000 bn:00023235n
d000.s00122.t00000 bn:00046021n
d000.s00122.t00001 bn:00023236n
d000.s00122.t00002 bn:00116360r
d000.s00123.t00000 bn:00046021n
d000.s00123.t00001 bn:00043492n
d000.s00123.t00002 bn:00047679n
d000.s00124.t00000 bn:00054975n
d000.s00124.t00001 bn:00087724v
d000.s00124.t00002 bn:00111465a
d000.s00124.t00003 bn:00025855n
d000.s00125.t00000 bn:00074434n
d000.s00125.t00001 bn:00104655a
d000.s00125.t00002 bn:00107765a
d000.s00126.t00000 bn:00083908v
d000.s00126.t00001 bn:00030814n
d000.s00127.t00000 bn:00063640n
d000.s00128.t00000 bn:00099918a
d000.s00128.t00001 bn:00069946n
d000.s00128.t00002 bn:00047325n
d000.s00129.t00000 bn:00060894n
d000.s00129.t00001 bn:00023774n
d000.s00129.t00002 bn:00071103n
d000.s00129.t00003 bn:00002275n
d000.s00130.t00000 bn:00060894n
d000.s00130.t00001 bn:00023774n
d000.s00130.t00002 bn:00071103n
d000.s00130.t00003 bn:00002275n
d000.s00131.t00000 bn:00087845v
d000.s00132.t00000 bn:00083961v
d000.s00132.t00001 bn:00052143n
d000.s00133.t00000 bn:00116599r
d000.s00134.t00000 bn:00087727v
d000.s00134.t00001 bn:00116599r
d000.s00134.t00002 bn:00001582n
d000.s00134.t00003 bn:00017924n
d000.s00134.t00004 bn:00063707n
d000.s00134.t00005 bn:00113057a
d000.s00134.t00006 bn:00053173n
d000.s00135.t00000 bn:00082954v
d000.s00135.t00001 bn:00015777n
d000.s00136.t00000 bn:00031993n
d000.s00136.t00001 bn:00001127n
d000.s00136.t00002 bn:00001582n
d000.s00137.t00000 bn:00056033n
d000.s00138.t00000 bn:00019832n
d000.s00139.t00000 bn:00109437a
d000.s00139.t00001 bn:00023815n
d000.s00140.t00000 bn:00048463n
d000.s00140.t00001 bn:00041942n
d000.s00140.t00002 bn:00098342a
d000.s00140.t00003 bn:00087724v
d000.s00140.t00004 bn:00031074n
d000.s00141.t00000 bn:00052796n
d000.s00141.t00001 bn:00054045n
d000.s00141.t00002 bn:00002381n
d000.s00141.t00003 bn:00078738n
d000.s00142.t00000 bn:00103993a
d000.s00143.t00000 bn:00083961v
d000.s00143.t00001 bn:00072080n
d000.s00143.t00002 bn:00000360n
d000.s00143.t00003 bn:00078738n
d000.s00144.t00000 bn:00026581n
d000.s00145.t00000 bn:00071103n
d000.s00146.t00000 bn:00053519n
d000.s00146.t00001 bn:00016124n
d000.s00147.t00000 bn:00036707n
d000.s00147.t00001 bn:00100206a
d000.s00148.t00000 bn:00046942n
d000.s00148.t00001 bn:00062972n
d000.s00148.t00002 bn:00016124n
d000.s00149.t00000 bn:00019788n
d000.s00149.t00001 bn:00001714n
d000.s00149.t00002 bn:00030010n
d000.s00149.t00003 bn:00020895n
d000.s00150.t00000 bn:00026550n
d000.s00150.t00001 bn:00064699n
d000.s00151.t00000 bn:00007006n
d000.s00151.t00001 bn:00082226v
d000.s00151.t00002 bn:00002178n
d000.s00152.t00000 bn:00007006n
d000.s00152.t00001 bn:00102659a
d000.s00152.t00002 bn:00006759n
d000.s00153.t00000 bn:00102802a
d000.s00153.t00001 bn:00027749n
d000.s00153.t00002 bn:00065809n
d000.s00154.t00000 bn:00027040n
d000.s00155.t00000 bn:00008336n
d000.s00155.t00001 bn:00116498r
d000.s00155.t00002 bn:00063592n
d000.s00155.t00003 bn:00113864a
d000.s00155.t00004 bn:00041873n
d000.s00155.t00005 bn:00034471n
d000.s00155.t00006 bn:00066589n
d000.s00156.t00000 bn:00008336n
d000.s00156.t00001 bn:00112714a
d000.s00157.t00000 bn:00030721n
d000.s00158.t00000 bn:00005659n
d000.s00159.t00000 bn:00021940n
d000.s00159.t00001 bn:00075024n
d000.s00160.t00000 bn:00075024n
d000.s00160.t00001 bn:00107627a
d000.s00161.t00000 bn:00075024n
d000.s00161.t00001 bn:00100144a
d000.s00162.t00000 bn:00075024n
d000.s00162.t00001 bn:00032089n
d000.s00163.t00000 bn:00000937n
d000.s00163.t00001 bn:00085475v
d000.s00164.t00000 bn:00023293n
d000.s00164.t00001 bn:00000127n
d000.s00164.t00002 bn:00043484n
d000.s00164.t00003 bn:00070407n
d000.s00165.t00000 bn:00082226v
d000.s00165.t00001 bn:00030721n
d000.s00166.t00000 bn:00032725n
d000.s00166.t00001 bn:00112714a
d000.s00167.t00000 bn:00087967v
d000.s00168.t00000 bn:00082901v
d000.s00168.t00001 bn:00106755a
d000.s00168.t00002 bn:00100173a
d000.s00169.t00000 bn:00032721n
d000.s00170.t00000 bn:00000428n
d000.s00171.t00000 bn:00116360r
d000.s00171.t00001 bn:00085373v
d000.s00172.t00000 bn:00015675n
d000.s00172.t00001 bn:00088859v
d000.s00172.t00002 bn:00114778r
d000.s00172.t00003 bn:00021649n
d000.s00173.t00000 bn:00035584n
d000.s00173.t00001 bn:00083622v
d000.s00173.t00002 bn:00062759n
d000.s00173.t00003 bn:00007011n
d000.s00174.t00000 bn:00078365n
d000.s00174.t00001 bn:00104704a
d000.s00174.t00002 bn:00112714a
d000.s00175.t00000 bn:00096299a
d000.s00175.t00001 bn:00023807n
d000.s00176.t00000 bn:00012862n
d000.s00176.t00001 bn:00029239n
d000.s00177.t00000 bn:00022490n
d000.s00177.t00001 bn:00027042n
d000.s00178.t00000 bn:00082820v
d000.s00178.t00001 bn:00022227n
d000.s00179.t00000 bn:00100173a
d000.s00180.t00000 bn:00042039n
d000.s00180.t00001 bn:00025804n
d000.s00181.t00000 bn:00064699n
d000.s00181.t00001 bn:00053518n
d000.s00182.t00000 bn:00046721n
d000.s00182.t00001 bn:00036292n
d000.s00182.t00002 bn:00016032n
d000.s00182.t00003 bn:00050561n
d000.s00182.t00004 bn:00029239n
d000.s00182.t00005 bn:00031334n
d000.s00182.t00006 bn:00082820v
d000.s00183.t00000 bn:00021744n
d000.s00183.t00001 bn:00062249n
d000.s00184.t00000 bn:00042039n
d000.s00185.t00000 bn:00086749v
d000.s00185.t00001 bn:00007048n
d000.s00186.t00000 bn:00008870n
d000.s00187.t00000 bn:00046272n
d000.s00188.t00000 bn:00116360r
d000.s00188.t00001 bn:00022227n
d000.s00188.t00002 bn:00003333n
d000.s00189.t00000 bn:00001127n
d000.s00189.t00001 bn:00097736a
d000.s00189.t00002 bn:00097975a
d000.s00189.t00003 bn:00045892n
d000.s00189.t00004 bn:00031485n
d000.s00190.t00000 bn:00100306a
d000.s00190.t00001 bn:00063218n
d000.s00191.t00000 bn:00050287n
d000.s00191.t00001 bn:00035679n
d000.s00192.t00000 bn:00103089a
d000.s00192.t00001 bn:00008805n
d000.s00193.t00000 bn:00031486n
d000.s00193.t00001 bn:00060799n
d000.s00193.t00002 bn:00101078a
d000.s00193.t00003 bn:00107587a
d000.s00193.t00004 bn:00082652v
d000.s00194.t00000 bn:00086938v
d000.s00194.t00001 bn:00046516n
d000.s00195.t00000 bn:00021792n
d000.s00195.t00001 bn:00031485n
d000.s00195.t00002 bn:00076924n
d000.s00196.t00000 bn:00089670v
d000.s00197.t00000 bn:00052910n
d000.s00198.t00000 bn:00093136v
d000.s00198.t00001 bn:00100415a
d000.s00199.t00000 bn:00031485n
d000.s00199.t00001 bn:00032654n
d000.s00200.t00000 bn:00106765a
d000.s00200.t00001 bn:00114778r
d000.s00200.t00002 bn:00021039n
d000.s00200.t00003 bn:00106058a
d000.s00200.t00004 bn:00054301n
d000.s00201.t00000 bn:00080435n
d000.s00201.t00001 bn:00021766n
d000.s00201.t00002 bn:00112498a
d000.s00201.t00003 bn:00064541n
d000.s00201.t00004 bn:00046516n
d000.s00201.t00005 bn:00104025a
d000.s00201.t00006 bn:00107589a
d000.s00202.t00000 bn:00031485n
d000.s00202.t00001 bn:00062704n
d000.s00202.t00002 bn:00104562a
d000.s00203.t00000 bn:00049995n
d000.s00204.t00000 bn:00031485n
d000.s00205.t00000 bn:00001058n
d000.s00205.t00001 bn:00072698n
d000.s00205.t00002 bn:00071869n
d000.s00205.t00003 bn:00107587a
d000.s00206.t00000 bn:00082690v
d000.s00207.t00000 bn:00110444a
d000.s00208.t00000 bn:00008120n
d000.s00209.t00000 bn:00083552v
d000.s00210.t00000 bn:00117053r
d000.s00211.t00000 bn:00031485n
d000.s00211.t00001 bn:00100329a
d000.s00211.t00002 bn:00082690v
d000.s00212.t00000 bn:00032804n
d000.s00212.t00001 bn:00111415a
d000.s00212.t00002 bn:00063704n
d000.s00212.t00003 bn:00102362a
d000.s00213.t00000 bn:00032804n
d000.s00213.t00001 bn:00005913n
d000.s00214.t00000 bn:00006759n
d000.s00214.t00001 bn:00010248n
d000.s00215.t00000 bn:00001005n
d000.s00215.t00001 bn:00082276v
d000.s00215.t00002 bn:00059958n
d000.s00216.t00000 bn:00082276v
d000.s00216.t00001 bn:00112604a
d000.s00217.t00000 bn:00084089v
d000.s00217.t00001 bn:00055644n
d000.s00217.t00002 bn:00082246v
d000.s00217.t00003 bn:00067741n
d000.s00218.t00000 bn:00103223a
d000.s00218.t00001 bn:00082276v
d000.s00218.t00002 bn:00021938n
d000.s00218.t00003 bn:00054958n
d000.s00219.t00000 bn:00001005n
d000.s00219.t00001 bn:00055644n
d000.s00219.t00002 bn:00007299n
d000.s00220.t00000 bn:00001005n
d000.s00221.t00000 bn:00084331v
d000.s00221.t00001 bn:00114297r
d000.s00222.t00000 bn:00077880n
d000.s00222.t00001 bn:00017368n
d000.s00222.t00002 bn:00021045n
d000.s00223.t00000 bn:00001975n
d000.s00224.t00000 bn:00076341n
d000.s00224.t00001 bn:00098342a
d000.s00224.t00002 bn:00021492n
d000.s00225.t00000 bn:00068915n
d000.s00225.t00001 bn:00017368n
d000.s00225.t00002 bn:00021045n
d000.s00225.t00003 bn:00116360r
d000.s00225.t00004 bn:00089472v
d000.s00225.t00005 bn:00022996n
d000.s00226.t00000 bn:00065265n
d000.s00226.t00001 bn:00017368n
d000.s00226.t00002 bn:00021045n
d000.s00227.t00000 bn:00008870n
d000.s00227.t00001 bn:00046705n
d000.s00227.t00002 bn:00116360r
d000.s00227.t00003 bn:00109211a
d000.s00227.t00004 bn:00092756v
d000.s00227.t00005 bn:00100228a
d000.s00228.t00000 bn:00053479n
d000.s00228.t00001 bn:00014332n
d000.s00228.t00002 bn:00064839n
d000.s00228.t00003 bn:00103424a
d000.s00229.t00000 bn:00059228n
d000.s00229.t00001 bn:00084331v
d000.s00229.t00002 bn:00021045n
d000.s00229.t00003 bn:00025083n
d000.s00229.t00004 bn:00025338n
d000.s00230.t00000 bn:00093472v
d000.s00230.t00001 bn:00021045n
d000.s00230.t00002 bn:00025083n
d000.s00230.t00003 bn:00025338n
d000.s00231.t00000 bn:00084331v
d000.s00231.t00001 bn:00093472v
d000.s00231.t00002 bn:00021045n
d000.s00231.t00003 bn:00025083n
d000.s00231.t00004 bn:00025338n
d000.s00231.t00005 bn:00034394n
d000.s00232.t00000 bn:00059228n
d000.s00232.t00001 bn:00082226v
d000.s00232.t00002 bn:00030721n
d000.s00232.t00003 bn:00102971a
d000.s00233.t00000 bn:00084331v
d000.s00234.t00000 bn:00070677n
d000.s00235.t00000 bn:00084331v
d000.s00235.t00001 bn:00093486v
d000.s00235.t00002 bn:00052815n
d000.s00236.t00000 bn:00016448n
d000.s00237.t00000 bn:00000654n
d000.s00237.t00001 bn:00091135v
d000.s00238.t00000 bn:00075027n
d000.s00238.t00001 bn:00001005n
d000.s00238.t00002 bn:00076666n
d000.s00239.t00000 bn:00105303a
d000.s00239.t00001 bn:00063702n
d000.s00240.t00000 bn:00043824n
d000.s00240.t00001 bn:00075027n
d000.s00240.t00002 bn:00097063a
d000.s00240.t00003 bn:00025804n
d000.s00241.t00000 bn:00059958n
d000.s00242.t00000 bn:00005155n
d000.s00243.t00000 bn:00045800n
d000.s00243.t00001 bn:00081565n
d000.s00244.t00000 bn:00082553v
d000.s00244.t00001 bn:00059584n
d000.s00244.t00002 bn:00081546n
d000.s00244.t00003 bn:00012262n
d000.s00245.t00000 bn:00097192a
d000.s00246.t00000 bn:00059958n
d000.s00246.t00001 bn:00105848a
d000.s00247.t00000 bn:00005894n
d000.s00247.t00001 bn:00070308n
d000.s00247.t00002 bn:00007299n
d000.s00248.t00000 bn:00032403n
d000.s00248.t00001 bn:00094748v
d000.s00248.t00002 bn:00059953n
d000.s00248.t00003 bn:00007293n
d000.s00248.t00004 bn:00109211a
d000.s00249.t00000 bn:00090224v
d000.s00249.t00001 bn:00061727n
d000.s00249.t00002 bn:00024588n
d000.s00249.t00003 bn:00058697n
d000.s00250.t00000 bn:00070308n
d000.s00250.t00001 bn:00028872n
d000.s00250.t00002 bn:00104562a
d000.s00250.t00003 bn:00022026n
d000.s00251.t00000 bn:00085252v
d000.s00251.t00001 bn:00070654n
d000.s00251.t00002 bn:00007299n
d000.s00252.t00000 bn:00001077n
d000.s00252.t00001 bn:00059958n
d000.s00252.t00002 bn:00013722n
d000.s00253.t00000 bn:00009815n
d000.s00253.t00001 bn:00046516n
d000.s00253.t00002 bn:00029415n
d000.s00254.t00000 bn:00103223a
d000.s00254.t00001 bn:00076924n
d000.s00254.t00002 bn:00025631n
d000.s00254.t00003 bn:00075420n
d000.s00255.t00000 bn:00055644n
d000.s00255.t00001 bn:00064646n
d000.s00256.t00000 bn:00099441a
d000.s00257.t00000 bn:00087021v
d000.s00257.t00001 bn:00059953n
d000.s00258.t00000 bn:00005136n
d000.s00258.t00001 bn:00023815n
d000.s00259.t00000 bn:00086008v
d000.s00259.t00001 bn:00072080n
d000.s00259.t00002 bn:00015767n
d000.s00260.t00000 bn:00066863n
d000.s00261.t00000 bn:00092834v
d000.s00261.t00001 bn:00055644n
d000.s00261.t00002 bn:00061450n
d000.s00262.t00000 bn:00001127n
d000.s00262.t00001 bn:00088210v
d000.s00262.t00002 bn:00059958n
d000.s00262.t00003 bn:00070308n
d000.s00262.t00004 bn:00051693n
d000.s00262.t00005 bn:00025850n
d000.s00263.t00000 bn:00050563n
d000.s00263.t00001 bn:00023682n
d000.s00263.t00002 bn:00051693n
d000.s00263.t00003 bn:00025850n
d000.s00264.t00000 bn:00076924n
d000.s00264.t00001 bn:00061450n
d000.s00265.t00000 bn:00077975n
d000.s00266.t00000 bn:00000214n
d000.s00266.t00001 bn:00082844v
d000.s00267.t00000 bn:00087737v
d000.s00267.t00001 bn:00113457a
d000.s00267.t00002 bn:00112604a
d000.s00268.t00000 bn:00061898n
d000.s00269.t00000 bn:00001077n
d000.s00269.t00001 bn:00084634v
d000.s00269.t00002 bn:00015914n
d000.s00269.t00003 bn:00113457a
d000.s00270.t00000 bn:00055115n
d000.s00270.t00001 bn:00102595a
d000.s00271.t00000 bn:00033729n
d000.s00271.t00001 bn:00101007a
d000.s00271.t00002 bn:00025083n
d000.s00271.t00003 bn:00106205a
d000.s00271.t00004 bn:00082920v
d000.s00271.t00005 bn:00019763n
d000.s00271.t00006 bn:00114281r
d000.s00271.t00007 bn:00084770v
d000.s00271.t00008 bn:00102576a
d000.s00272.t00000 bn:00007085n
d000.s00272.t00001 bn:00068915n
d000.s00272.t00002 bn:00109211a
d000.s00272.t00003 bn:00010266n
d000.s00273.t00000 bn:00001077n
d000.s00273.t00001 bn:00086008v
d000.s00273.t00002 bn:00093486v
d000.s00273.t00003 bn:00012195n
d000.s00274.t00000 bn:00093472v
d000.s00274.t00001 bn:00115731r
d000.s00274.t00002 bn:00061661n
d000.s00275.t00000 bn:00015662n
d000.s00275.t00001 bn:00068915n
d000.s00276.t00000 bn:00059851n
d000.s00276.t00001 bn:00015662n
d000.s00276.t00002 bn:00068915n
d000.s00277.t00000 bn:00066598n
d000.s00277.t00001 bn:00113456a
d000.s00278.t00000 bn:00066598n
d000.s00278.t00001 bn:00021965n
d000.s00278.t00002 bn:00025170n
d000.s00279.t00000 bn:00092745v
d000.s00279.t00001 bn:00046516n
d000.s00280.t00000 bn:00071707n
d000.s00280.t00001 bn:00092745v
d000.s00281.t00000 bn:00000457n
d000.s00281.t00001 bn:00066712n
d000.s00281.t00002 bn:00103223a
d000.s00281.t00003 bn:00090001v
d000.s00281.t00004 bn:00064346n
d000.s00281.t00005 bn:00068745n
d000.s00281.t00006 bn:00061331n
d000.s00282.t00000 bn:00046553n
d000.s00282.t00001 bn:00010712n
d000.s00282.t00002 bn:00061325n
d000.s00282.t00003 bn:00111713a
d000.s00282.t00004 bn:00065285n
d000.s00282.t00005 bn:00071708n
d000.s00283.t00000 bn:00111042a
d000.s00283.t00001 bn:00046516n
d000.s00284.t00000 bn:00064811n
d000.s00284.t00001 bn:00074009n
d000.s00284.t00002 bn:00005509n
d000.s00284.t00003 bn:00019002n
d000.s00285.t00000 bn:00071707n
d000.s00285.t00001 bn:00082697v
d000.s00285.t00002 bn:00025995n
d000.s00286.t00000 bn:00006945n
d000.s00287.t00000 bn:00088544v
d000.s00288.t00000 bn:00088544v
d000.s00288.t00001 bn:00015767n
d000.s00289.t00000 bn:00086533v
d000.s00289.t00001 bn:00023287n
d000.s00290.t00000 bn:00086533v
d000.s00290.t00001 bn:00071103n
d000.s00290.t00002 bn:00023774n
d000.s00290.t00003 bn:00016047n
d000.s00290.t00004 bn:00071134n
d000.s00290.t00005 bn:00034623n
