pos,text,lemma,lemma_meaning,example,context,y_pred,pred,process
VERB,utiliser,utiliser,0,Avez -vous envisagé d' utiliser de matériel de distribution pour remplacer ou réduire le nombre d' employés de cafétéria ?,Avez -vous envisagé d' utiliser de matériel de distribution pour remplacer ou réduire le nombre d' employés de cafétéria ?,352536264044310162,0.9,NA
NOUN,cafétéria,cafétéria,0,Quelles sont les possibilités de faire fonctionner votre cafétéria pour un seul quart de travail et de compter sur des distributeurs automatiques ou des sandwichs préemballés pour les deuxième et troisième quarts de travail ?,Quelles sont les possibilités de faire fonctionner votre cafétéria pour un seul quart de travail et de compter sur des distributeurs automatiques ou des sandwichs préemballés pour les deuxième et troisième quarts de travail ?,8774157631368855903,1.0,NA
NOUN,cafétéria,cafétéria,0,Avez -vous vérifié le coût de la sous-traitance de votre cafétéria afin d' économiser les coûts administratifs ?,Avez -vous vérifié le coût de la sous-traitance de votre cafétéria afin d' économiser les coûts administratifs ?,8774157631368855903,1.0,NA
NOUN,cafétéria,cafétéria,0,Y a -t -il des possibilités d' avoir une cafétéria qui aide à travailler à temps partiel à des postes de garde ou autres ?,Y a -t -il des possibilités d' avoir une cafétéria qui aide à travailler à temps partiel à des postes de garde ou autres ?,8774157631368855903,0.8,NA
NOUN,périodes,période,0,Les périodes de repas décalées peuvent -elles soulager la pression de capacité sur vos installations d' alimentation ?,Les périodes de repas décalées peuvent -elles soulager la pression de capacité sur vos installations d' alimentation ?,4799079897206870478,1.0,NA
ADJ,possible,possible,0,Serait -il possible de limiter le menu afin de réduire les coûts d' alimentation ?,Serait -il possible de limiter le menu afin de réduire les coûts d' alimentation ?,-1989995860981154541,1.0,lone candidate
ADJ,progressif,progressif,0,Avez -vous envisagé le retrait progressif de subventions à vos activités d' alimentation de plantes ?,Avez -vous envisagé le retrait progressif de subventions à vos activités d' alimentation de plantes ?,4396903245792998500,1.0,lone candidate
VERB,Utilisez,utiliser,0,Utilisez -vous l' espace cafétéria pour des réunions d' entreprise ou des discussions ?,Utilisez -vous l' espace cafétéria pour des réunions d' entreprise ou des discussions ?,352536264044310162,0.9,NA
NOUN,domaine,domaine,0,Vos dépenses dans ce domaine sont -elles proportionnelles à nombre d' employés qui bénéficient de votre programme ?,Vos dépenses dans ce domaine sont -elles proportionnelles à nombre d' employés qui bénéficient de votre programme ?,-8511492441953768938,1.0,lone candidate
NOUN,programme,programme,0,Avez -vous vérifié votre programme récemment pour éliminer les phases qui attirent le moins de participation ?,Avez -vous vérifié votre programme récemment pour éliminer les phases qui attirent le moins de participation ?,1994213874758650300,1.0,NA
NOUN,argent,argent,0,Les employés versent -ils leur part d' argent à installations récréatives ?,Les employés versent -ils leur part d' argent à installations récréatives ?,4125707817384821083,1.0,NA
NOUN,responsabilité,responsabilité,0,Avez -vous envisagé de déléguer la responsabilité opérationnelle à votre association d' employés et de limiter soigneusement la contribution financière de votre usine ?,Avez -vous envisagé de déléguer la responsabilité opérationnelle à votre association d' employés et de limiter soigneusement la contribution financière de votre usine ?,-4823361384897199435,1.0,lone candidate
NOUN,club,club,0,Le club de jardinage d' un employé pourrait -il prendre en charge partiellement le terrain végétal ?,Le club de jardinage d' un employé pourrait -il prendre en charge partiellement le terrain végétal ?,-8243231240044452284,1.0,NA
NOUN,club,club,0,Un camera club serait -il utile pour prendre des photos pertinentes à la sécurité de installations ?,Un camera club serait -il utile pour prendre des photos pertinentes à la sécurité de installations ?,-8243231240044452284,0.7,NA
ADV,trop,trop,1,Est -ce que vous dépensez trop d' argent en uniformes d' équipe qui ne profitent qu' à quelques employés ?,Est -ce que vous dépensez trop d' argent en uniformes d' équipe qui ne profitent qu' à quelques employés ?,7685930093201406854,0.1,NA
NOUN,équipe,équipe,0,Êtes -vous en train de souscrire des voyages d' équipe coûteux ?,Êtes -vous en train de souscrire des voyages d' équipe coûteux ?,8014815508023276150,1.0,lone candidate
VERB,Utilisez,utiliser,0,Utilisez -vous le produit de distributeur automatique pour aider à payer votre programme ?,Utilisez -vous le produit de distributeur automatique pour aider à payer votre programme ?,352536264044310162,0.8,NA
NOUN,coût,coût,0,Connaissez -vous la tendance de votre coût d' entretien de routes d' accès et des parkings ?,Connaissez -vous la tendance de votre coût d' entretien de routes d' accès et des parkings ?,-9084010777046016504,1.0,lone candidate
VERB,utilisez,utiliser,0,"Si vous utilisez des agents de stationnement , peuvent -ils être remplacés par des portes de stationnement automatiques ?","Si vous utilisez des agents de stationnement , peuvent -ils être remplacés par des portes de stationnement automatiques ?",352536264044310162,0.9,NA
VERB,fournissez,fournir,0,"Si vous fournissez des transports inter-usines , peut -on remplacer cela par les transports publics disponibles ?","Si vous fournissez des transports inter-usines , peut -on remplacer cela par les transports publics disponibles ?",3380227814939646842,1.0,lone candidate
VERB,utilisez,utiliser,0,"Si vous utilisez le transport d' entreprise pour rencontrer des trains ou pour transporter des visiteurs , les taxis seraient -ils moins chers ?","Si vous utilisez le transport d' entreprise pour rencontrer des trains ou pour transporter des visiteurs , les taxis seraient -ils moins chers ?",352536264044310162,0.9,NA
NOUN,véhicules,véhicule,0,Quelle est l' efficacité et la nécessité de vos véhicules intra-entreprises ?,Quelle est l' efficacité et la nécessité de vos véhicules intra-entreprises ?,-9202306420213972,1.0,lone candidate
NOUN,conducteurs,conducteur,0,Les conducteurs à temps partiel peuvent -ils être affectés à d' autres travaux productifs ?,Les conducteurs à temps partiel peuvent -ils être affectés à d' autres travaux productifs ?,-3882316127730761927,1.0,lone candidate
ADV,plus,plus,0,Quel est le plus économique pour votre usine - une fermeture de vacances ou des vacances espacées qui nécessitent des employés supplémentaires pour les remplissages de vacances ?,Quel est le plus économique pour votre usine - une fermeture de vacances ou des vacances espacées qui nécessitent des employés supplémentaires pour les remplissages de vacances ?,2267137018133749379,1.0,lone candidate
NOUN,vacances,vacances,0,Les vacances peuvent -elles être espacées tout à long de 12 mois pour réduire à minimum le nombre d' employés à remplir ?,Les vacances peuvent -elles être espacées tout à long de 12 mois pour réduire à minimum le nombre d' employés à remplir ?,279961264637329955,0.9,NA
VERB,Insistez,insister,0,Insistez -vous pour que les salariés inutiles prennent leurs vacances pendant les fermetures d' usines ?,Insistez -vous pour que les salariés inutiles prennent leurs vacances pendant les fermetures d' usines ?,-2476179864093287381,1.0,lone candidate
NOUN,périodes,période,0,"Que peuvent faire vos services de vente et d' achat pour réduire les commandes , les expéditions et les reçus pendant les périodes d' arrêt de vacances ?","Que peuvent faire vos services de vente et d' achat pour réduire les commandes , les expéditions et les reçus pendant les périodes d' arrêt de vacances ?",4799079897206870478,0.8,NA
NOUN,âge,âge,0,Un âge de retraite arbitraire de 65 ans coûte -t -il de l' argent à votre plante ?,Un âge de retraite arbitraire de 65 ans coûte -t -il de l' argent à votre plante ?,-8504056385047086210,1.0,NA
ADJ,âgés,âgé,0,Quel genre d' effort faites -vous pour vous assurer que les travailleurs âgés ou handicapés sont pleinement productifs ?,Quel genre d' effort faites -vous pour vous assurer que les travailleurs âgés ou handicapés sont pleinement productifs ?,-4000066554864488904,1.0,NA
ADJ,handicapés,handicapé,0,La retraite anticipée de employés non productifs et handicapés réduirait -elle le nombre d' emplois créés ?,La retraite anticipée de employés non productifs et handicapés réduirait -elle le nombre d' emplois créés ?,7517679047527629102,1.0,lone candidate
NOUN,syndicat,syndicat,0,Votre syndicat acceptera -t -il des concessions d' ancienneté dans l' attribution de travail à employés âgés ou handicapés ?,Votre syndicat acceptera -t -il des concessions d' ancienneté dans l' attribution de travail à employés âgés ou handicapés ?,-3438093857577677533,0.95,NA
NOUN,installations,installation,0,Pouvez -vous partager les installations médicales et le personnel avec les plantes voisines ?,Pouvez -vous partager les installations médicales et le personnel avec les plantes voisines ?,4712737509032110176,1.0,lone candidate
VERB,sert,servir,0,"Si vous avez un médecin à temps plein maintenant , peut -il être remplacé par un médecin à temps partiel ou celui qui sert sur une base de frais par cas seulement ?","Si vous avez un médecin à temps plein maintenant , peut -il être remplacé par un médecin à temps partiel ou celui qui sert sur une base de frais par cas seulement ?",-2249507274773255557,1.0,lone candidate
NOUN,infirmière,infirmier,0,Votre infirmière d' usine peut -elle être remplacée par un secouriste qualifié qui travaille à plein temps sur une autre mission ?,Votre infirmière d' usine peut -elle être remplacée par un secouriste qualifié qui travaille à plein temps sur une autre mission ?,227326150248123209,1.0,lone candidate
VERB,traiter,traiter,0,Faites -vous une distinction rigide entre les problèmes de santé liés à travail et les problèmes de santé non liés à travail et évitez de traiter ces derniers ?,Faites -vous une distinction rigide entre les problèmes de santé liés à travail et les problèmes de santé non liés à travail et évitez de traiter ces derniers ?,-5790850066925328655,1.0,lone candidate
ADJ,médicaux,médical,0,"Offrez -vous indifféremment des services médicaux inutiles - coups de grippe , traitements de la lampe solaire , etc ?","Offrez -vous indifféremment des services médicaux inutiles - coups de grippe , traitements de la lampe solaire , etc ?",-5816222671807271961,1.0,lone candidate
NOUN,programme,programme,0,"Si vous avez un programme d' examen physique annuel ou régulier , est -ce que cela vaut ce qu' il vous coûte ?","Si vous avez un programme d' examen physique annuel ou régulier , est -ce que cela vaut ce qu' il vous coûte ?",1994213874758650300,0.7,NA
VERB,permettre,permettre,1,Considérez ce que vous pouvez vous permettre de dépenser et quels sont vos objectifs avant d' établir ou de rénover votre programme d' avantages sociaux de employés .,Considérez ce que vous pouvez vous permettre de dépenser et quels sont vos objectifs avant d' établir ou de rénover votre programme d' avantages sociaux de employés .,2515658319660884933,0.2,NA
VERB,acheter,acheter,0,Trop de responsables d' usine sont tous trop impatients d' acheter un programme de forfait d' une compagnie d' assurance simplement parce qu' il fonctionne pour une autre usine .,Trop de responsables d' usine sont tous trop impatients d' acheter un programme de forfait d' une compagnie d' assurance simplement parce qu' il fonctionne pour une autre usine .,8834601107163132285,1.0,lone candidate
VERB,emploie,employer,0,"Mais même si cette autre usine emploie le même nombre de travailleurs et fait le même produit , il ya d' autres faits à considérer .","Mais même si cette autre usine emploie le même nombre de travailleurs et fait le même produit , il ya d' autres faits à considérer .",-7491185868152249137,1.0,lone candidate
NOUN,pays,pays,0,Dans quelle partie de pays êtes -vous situé ?,Dans quelle partie de pays êtes -vous situé ?,6828927816828013152,1.0,lone candidate
NOUN,programme,programme,0,Ces facteurs peuvent faire la différence entre le gaspillage et l' efficacité dans tout programme d' avantages .,Ces facteurs peuvent faire la différence entre le gaspillage et l' efficacité dans tout programme d' avantages .,1994213874758650300,0.8,NA
ADV,Surtout,surtout,0,"Surtout , ne pas mettre en place de avantages marginaux extravagants juste pour acheter la bonne volonté de employés .","Surtout , ne pas mettre en place de avantages marginaux extravagants juste pour acheter la bonne volonté de employés .",3090661643705014908,1.0,lone candidate
NOUN,syndicats,syndicat,0,"Les syndicats insistent sur les avantages sociaux , mais le travailleur horaire individuel préfère l' argent à chaque fois .","Les syndicats insistent sur les avantages sociaux , mais le travailleur horaire individuel préfère l' argent à chaque fois .",-3438093857577677533,0.95,NA
VERB,équilibrer,équilibrer,0,Objectif d' équilibrer votre régime d' avantages sociaux de employés .,Objectif d' équilibrer votre régime d' avantages sociaux de employés .,3630141133558156520,1.0,lone candidate
ADJ,libéral,libéral,0,Certaines plantes vont par-dessus bord sur un type de frange - disons un régime de retraite libéral - et se trouvent vulnérables ailleurs .,Certaines plantes vont par-dessus bord sur un type de frange - disons un régime de retraite libéral - et se trouvent vulnérables ailleurs .,8648399799562289277,1.0,lone candidate
NOUN,programme,programme,0,"Si vous voulez de crédit pour votre programme de services à employés , faites savoir à vos travailleurs à quoi ils ont droit .","Si vous voulez de crédit pour votre programme de services à employés , faites savoir à vos travailleurs à quoi ils ont droit .",1994213874758650300,0.8,NA
NOUN,histoires,histoire,0,"Cela peut se faire par des histoires dans les organes de votre maison , des affiches , des publications spéciales , des lettres à maisons de travailleurs ainsi que par le bouche à oreille à travers votre chaîne de commandement .","Cela peut se faire par des histoires dans les organes de votre maison , des affiches , des publications spéciales , des lettres à maisons de travailleurs ainsi que par le bouche à oreille à travers votre chaîne de commandement .",-8844810312523576242,1.0,lone candidate
NOUN,entreprises,entreprise,0,Certaines entreprises trouvent un peu d' imagination utile .,Certaines entreprises trouvent un peu d' imagination utile .,649478414595828950,1.0,lone candidate
NOUN,jeu,jeu,0,"Hallmark Cards , Inc. , Kansas City , Mo. , a un jeu de quiz à faire soi-même appelé "" Bafflers de bénéfice "" , qu' il distribue à employés .","Hallmark Cards , Inc. , Kansas City , Mo. , a un jeu de quiz à faire soi-même appelé "" Bafflers de bénéfice "" , qu' il distribue à employés .",-5960725113946465190,1.0,lone candidate
VERB,donne,donner,0,"M + R Dietetic Laboratories , Inc. , Columbus , donne à tous ses travailleurs un chéquier par télécopieur - chaque chèque indiquant le montant que l' entreprise dépense sur une frange particulière .","M + R Dietetic Laboratories , Inc. , Columbus , donne à tous ses travailleurs un chéquier par télécopieur - chaque chèque indiquant le montant que l' entreprise dépense sur une frange particulière .",266531162360003632,1.0,lone candidate
NOUN,formulaire,formulaire,0,"U. S. Rubber Company , New York , publie un formulaire indiquant la valeur de prestations .","U. S. Rubber Company , New York , publie un formulaire indiquant la valeur de prestations .",3040859696207131528,1.0,lone candidate
NOUN,assurance,assurance,0,"Le travailleur à col bleu connaît donc son forfait d' assurance , par exemple , coûte 227,72 $ .","Le travailleur à col bleu connaît donc son forfait d' assurance , par exemple , coûte 227,72 $ .",-3753236749260914602,1.0,NA
NOUN,service,service,0,Demandez à la compagnie d' assurance ou à votre propre service comptable de ventiler périodiquement le coût de votre forfait d' assurance .,Demandez à la compagnie d' assurance ou à votre propre service comptable de ventiler périodiquement le coût de votre forfait d' assurance .,8743435356831058977,1.0,lone candidate
ADV,économiquement,économiquement,0,"Vous pouvez trouver certaines couvertures coûtant beaucoup plus que ce qui est économiquement faisable , vous avertissant ainsi des révisions souhaitables .","Vous pouvez trouver certaines couvertures coûtant beaucoup plus que ce qui est économiquement faisable , vous avertissant ainsi des révisions souhaitables .",-2329567410015044269,1.0,lone candidate
NOUN,invalidité,invalidité,0,Vérifiez si certaines de vos prestations - comme l' indemnité d' invalidité en cours d' emploi - peuvent être versées directement plutôt qu' à titre d' épargne .,Vérifiez si certaines de vos prestations - comme l' indemnité d' invalidité en cours d' emploi - peuvent être versées directement plutôt qu' à titre d' épargne .,4944685229350607001,1.0,lone candidate
VERB,Utiliser,utiliser,0,Utiliser une assurance déductible dans la mesure de possible .,Utiliser une assurance déductible dans la mesure de possible .,352536264044310162,0.8,NA
NOUN,assurance,assurance,0,Il peut mettre fin à réclamations marginales qui font des ravages avec vos taux d' assurance .,Il peut mettre fin à réclamations marginales qui font des ravages avec vos taux d' assurance .,-3753236749260914602,0.9,NA
ADV,Aussi,aussi,0,"Aussi , méfiez -vous des politiques ouvertes , en particulier dans le domaine médical .","Aussi , méfiez -vous des politiques ouvertes , en particulier dans le domaine médical .",-3264313127433880015,1.0,NA
NOUN,fois,fois,0,"Cela signifiera que chaque fois qu' il ya une augmentation de taux d' hospitalisation , votre coût montera de la même manière .","Cela signifiera que chaque fois qu' il ya une augmentation de taux d' hospitalisation , votre coût montera de la même manière .",-907449236488448497,1.0,lone candidate
NOUN,dollars,dollar,0,Inscrire une limite de dollars et de cents sur les prestations .,Inscrire une limite de dollars et de cents sur les prestations .,-4775475603289475065,1.0,lone candidate
NOUN,assurance,assurance,0,N' allez pas trop loin sur l' assurance qui paie les prestations seulement à décès .,N' allez pas trop loin sur l' assurance qui paie les prestations seulement à décès .,-3753236749260914602,0.8,NA
ADV,Généralement,généralement,0,"Généralement , votre employé appréciera grandement les avantages qui le protègent pendant sa vie professionnelle ou pendant sa retraite .","Généralement , votre employé appréciera grandement les avantages qui le protègent pendant sa vie professionnelle ou pendant sa retraite .",1650677534208141120,1.0,NA
NOUN,deuil,deuil,0,"Lors de l' octroi de congés de deuil , préciser la durée maximale de congés et indiquer la relation entre le travailleur et le défunt .","Lors de l' octroi de congés de deuil , préciser la durée maximale de congés et indiquer la relation entre le travailleur et le défunt .",-5292540461095453405,1.0,lone candidate
ADV,Ainsi,ainsi,0,"Ainsi , vous évitez les maux de tête quand un employé veut partir pour les funérailles de son quatrième cousin .","Ainsi , vous évitez les maux de tête quand un employé veut partir pour les funérailles de son quatrième cousin .",5563947415860002228,1.0,lone candidate
ADV,Aussi,aussi,0,"Aussi , réservez le droit d' exiger la preuve de la mort malgré le fait que vous ne l' utiliserez probablement jamais .","Aussi , réservez le droit d' exiger la preuve de la mort malgré le fait que vous ne l' utiliserez probablement jamais .",-3264313127433880015,0.9,NA
VERB,soulager,soulager,0,Les distributeurs automatiques peuvent soulager la longue randonnée à la cafétéria pendant la pause avec la perte de temps de production qui en résulte .,Les distributeurs automatiques peuvent soulager la longue randonnée à la cafétéria pendant la pause avec la perte de temps de production qui en résulte .,-6778851950277184656,1.0,lone candidate
NOUN,café,café,0,"Si le café est vendu à la cafétéria , laissez quelques travailleurs dans chaque département l' obtenir pour tout le groupe .","Si le café est vendu à la cafétéria , laissez quelques travailleurs dans chaque département l' obtenir pour tout le groupe .",8542564420889952412,1.0,lone candidate
NOUN,lignes,ligne,0,Envisager d' installer des lignes de service supplémentaires dans les zones de production .,Envisager d' installer des lignes de service supplémentaires dans les zones de production .,-5203648128582546320,1.0,lone candidate
NOUN,lait,lait,0,"Assurez -vous que le lait pour le café est placé dans des distributeurs plutôt que dans des contenants , si vous fournissez le café .","Assurez -vous que le lait pour le café est placé dans des distributeurs plutôt que dans des contenants , si vous fournissez le café .",-1235362824743800561,1.0,lone candidate
NOUN,facture,facture,0,"Sinon , vous pouvez être selled avec une bonne facture de lait de bonne taille par les buveurs de lait .","Sinon , vous pouvez être selled avec une bonne facture de lait de bonne taille par les buveurs de lait .",-5475266201027264383,1.0,lone candidate
NOUN,âge,âge,0,Maintenez l' âge de la retraite flexible afin que les artisans qualifiés tels que les outils et les fabricants peuvent être maintenus sur le travail pour la commodité de l' entreprise .,Maintenez l' âge de la retraite flexible afin que les artisans qualifiés tels que les outils et les fabricants peuvent être maintenus sur le travail pour la commodité de l' entreprise .,-8504056385047086210,1.0,NA
NOUN,âge,âge,0,Et ainsi les morts-vivants sur la paie peuvent être apaisés à l' âge le plus tôt possible .,Et ainsi les morts-vivants sur la paie peuvent être apaisés à l' âge le plus tôt possible .,-8504056385047086210,0.9,NA
NOUN,âge,âge,0,Assurez -vous d' avoir un minimum d' âge et de temps sur les exigences professionnelles liées à votre régime de retraite .,Assurez -vous d' avoir un minimum d' âge et de temps sur les exigences professionnelles liées à votre régime de retraite .,-8504056385047086210,0.9,NA
ADJ,jeunes,jeune,0,Les jeunes hommes ne considèrent généralement pas les pensions comme un facteur important de prestations d' emploi et ils sont susceptibles de changer d' emploi plusieurs fois avant de s' installer .,Les jeunes hommes ne considèrent généralement pas les pensions comme un facteur important de prestations d' emploi et ils sont susceptibles de changer d' emploi plusieurs fois avant de s' installer .,-5124042861491855332,1.0,lone candidate
VERB,Choisissez,choisir,0,Choisissez soigneusement entre les régimes de retraite contributifs ou non contributifs .,Choisissez soigneusement entre les régimes de retraite contributifs ou non contributifs .,-3166936214890130291,1.0,lone candidate
ADV,généralement,généralement,0,Les travailleurs pensent généralement plus à un plan à ils contribuent .,Les travailleurs pensent généralement plus à un plan à ils contribuent .,1650677534208141120,0.95,NA
NOUN,argent,argent,0,"Et ils peuvent à moins recueillir l' argent qu' ils mettent dans , plus les intérêts , quand ils quittent l' entreprise .","Et ils peuvent à moins recueillir l' argent qu' ils mettent dans , plus les intérêts , quand ils quittent l' entreprise .",4125707817384821083,0.9,NA
VERB,rester,rester,0,"Ainsi , il y a une incitation supplémentaire à rester à travail .","Ainsi , il y a une incitation supplémentaire à rester à travail .",7244573177494195331,1.0,lone candidate
VERB,payer,payer,0,Assurez -vous de ne pas payer les jours fériés qui surviennent lorsqu' un employé ne travaillerait pas autrement .,Assurez -vous de ne pas payer les jours fériés qui surviennent lorsqu' un employé ne travaillerait pas autrement .,6235152224786645072,0.8,NA
NOUN,maladies,maladie,0,"Feuilles d' absences , maladies , et mises à pied .","Feuilles d' absences , maladies , et mises à pied .",-7075437080403869731,1.0,lone candidate
NOUN,système,système,0,Envisager d' adopter un système de congés dans lequel le temps de repos est accordé avec un oeil à un minimum d' inconvénients à l' exploitation de l' usine .,Envisager d' adopter un système de congés dans lequel le temps de repos est accordé avec un oeil à un minimum d' inconvénients à l' exploitation de l' usine .,8054950359411537292,1.0,lone candidate
ADV,généralement,généralement,0,Il n' est généralement pas trop difficile de vendre des travailleurs sur cela car il leur donne des périodes de vacances plus longues .,Il n' est généralement pas trop difficile de vendre des travailleurs sur cela car il leur donne des périodes de vacances plus longues .,1650677534208141120,0.95,NA
NOUN,vendredi,vendredi,0,"Par exemple , le vendredi après Thanksgiving peut être substitué à l' anniversaire de Washington .","Par exemple , le vendredi après Thanksgiving peut être substitué à l' anniversaire de Washington .",-5307923369900964591,1.0,lone candidate
NOUN,nombre,nombre,0,Cela réduit le nombre d' arrêts et de démarrages d' usines coûteux .,Cela réduit le nombre d' arrêts et de démarrages d' usines coûteux .,-8090342310684965866,1.0,NA
VERB,travaille,travailler,0,Exiger que chaque employé travaille son dernier quart avant et après le jour férié pour être admissible à la rémunération .,Exiger que chaque employé travaille son dernier quart avant et après le jour férié pour être admissible à la rémunération .,5107654445146104682,1.0,lone candidate
