pos,text,lemma,lemma_meaning,example,context,y_pred,pred,process
VERB,comparé,comparer,0,Quand avez -vous comparé pour la dernière fois vos coûts de primes actuels avec les coûts d' assurance d' autres sources ?,Quand avez -vous comparé pour la dernière fois vos coûts de primes actuels avec les coûts d' assurance d' autres sources ?,-1045833392183381210,1.0,lone candidate
VERB,aider,aider,0,Votre compagnie d' assurances peut -elle vous aider à réduire les coûts administratifs ?,Votre compagnie d' assurances peut -elle vous aider à réduire les coûts administratifs ?,-4568756868564844277,1.0,lone candidate
VERB,Essayez,essayer,0,Essayez -vous de maintenir le principe de programmes de contribution de employés ( par opposition à programmes entièrement payés par l' entreprise ) ?,Essayez -vous de maintenir le principe de programmes de contribution de employés ( par opposition à programmes entièrement payés par l' entreprise ) ?,3061542257306218214,1.0,reference word
VERB,Protégez,protéger,0,Protégez -vous vos privilèges de vacances avec une exigence de présence avant et après le jour férié ?,Protégez -vous vos privilèges de vacances avec une exigence de présence avant et après le jour férié ?,-185157518457590393,1.0,lone candidate
NOUN,vacances,vacances,0,Prévoyez -vous de limiter les vacances supplémentaires à la zone et / ou les modèles industriels ?,Prévoyez -vous de limiter les vacances supplémentaires à la zone et / ou les modèles industriels ?,279961264637329955,1.0,reference word
VERB,déplacer,déplacer,0,Avez -vous étudié la possibilité de déplacer les vacances en milieu de semaine vers le lundi ou le vendredi afin d' avoir une semaine de travail ininterrompue ?,Avez -vous étudié la possibilité de déplacer les vacances en milieu de semaine vers le lundi ou le vendredi afin d' avoir une semaine de travail ininterrompue ?,8060552260835097887,1.0,lone candidate
ADV,soigneusement,soigneusement,0,Êtes -vous soigneusement policier temps de lavage et périodes de repos pour être sûr que tout autre temps est productif ?,Êtes -vous soigneusement policier temps de lavage et périodes de repos pour être sûr que tout autre temps est productif ?,-2750788994548372771,1.0,lone candidate
VERB,Observez,observer,0,"Observez - vous les horaires de travail de opérateurs de chaudières , des gardes et d' autres opérations de 24 heures par jour , de 7 jours par semaine afin de réduire à minimum les heures supplémentaires ?","Observez - vous les horaires de travail de opérateurs de chaudières , des gardes et d' autres opérations de 24 heures par jour , de 7 jours par semaine afin de réduire à minimum les heures supplémentaires ?",-1763815003302549461,1.0,lone candidate
NOUN,nombre,nombre,0,Faites -vous attention à limiter le nombre de personnes en congé en même temps afin que votre obligation d' emploi totale soit réduite à minimum ?,Faites -vous attention à limiter le nombre de personnes en congé en même temps afin que votre obligation d' emploi totale soit réduite à minimum ?,-8090342310684965866,1.0,reference word
VERB,utiliser,utiliser,0,Avez -vous envisagé d' utiliser de matériel de distribution pour remplacer ou réduire le nombre d' employés de cafétéria ?,Avez -vous envisagé d' utiliser de matériel de distribution pour remplacer ou réduire le nombre d' employés de cafétéria ?,352536264044310162,0.95,"The words ""Utilisez"" and ""utiliser"" are both forms of the French verb ""utiliser,"" which means ""to use"" in English. Despite the difference in conjugation (with ""Utilisez"" being the second person plural or formal singular imperative or indicative form, and ""utiliser"" being the infinitive form), they share the same core meaning of employing or making use of something.

In both contexts provided, the verb is used in the sense of employing or making use of resources or methods. In context_1, it refers to using economical printing methods and materials, while in context_2, it refers to considering the use of distribution equipment to replace or reduce cafeteria staff.

Given that both words share the same root meaning and are used in similar contexts of employing or utilizing resources, the probability that they have the same meaning in a dictionary is very high.

Probability: 95%"
NOUN,cafétéria,cafétéria,0,Quelles sont les possibilités de faire fonctionner votre cafétéria pour un seul quart de travail et de compter sur des distributeurs automatiques ou des sandwichs préemballés pour les deuxième et troisième quarts de travail ?,Quelles sont les possibilités de faire fonctionner votre cafétéria pour un seul quart de travail et de compter sur des distributeurs automatiques ou des sandwichs préemballés pour les deuxième et troisième quarts de travail ?,8774157631368855903,1.0,reference word
NOUN,cafétéria,cafétéria,0,Avez -vous vérifié le coût de la sous-traitance de votre cafétéria afin d' économiser les coûts administratifs ?,Avez -vous vérifié le coût de la sous-traitance de votre cafétéria afin d' économiser les coûts administratifs ?,8774157631368855903,0.95,"The word ""cafétéria"" in both contexts refers to a place where food and drinks are served, typically within an institution like a school, hospital, or workplace. In context_1, the focus is on the operational aspects of running a cafeteria for different shifts and considering alternatives like vending machines or pre-packaged sandwiches. In context_2, the focus is on the financial aspect, specifically outsourcing the cafeteria to save on administrative costs. Despite the different focuses, both contexts refer to the same general concept of a cafeteria as a food service facility.

Probability that ""cafétéria"" has the same meaning in both contexts: 95%."
NOUN,cafétéria,cafétéria,0,Y a -t -il des possibilités d' avoir une cafétéria qui aide à travailler à temps partiel à des postes de garde ou autres ?,Y a -t -il des possibilités d' avoir une cafétéria qui aide à travailler à temps partiel à des postes de garde ou autres ?,8774157631368855903,0.95,"The word ""cafétéria"" in both contexts refers to a place where food and drinks are served, typically within an institution like a school, hospital, or workplace. In context_1, the focus is on the operational aspect of the cafeteria, specifically how it can function during different shifts and the use of vending machines or pre-packaged sandwiches as alternatives. In context_2, the focus is on the cafeteria as a potential means to support part-time work, possibly by providing flexible job opportunities or accommodating work schedules.

Despite the different focuses in the contexts, the core meaning of ""cafétéria"" as a place for food service remains consistent. Therefore, the probability that ""cafétéria"" has the same meaning in both contexts is very high.

Probability: 95%"
NOUN,périodes,période,0,Les périodes de repas décalées peuvent -elles soulager la pression de capacité sur vos installations d' alimentation ?,Les périodes de repas décalées peuvent -elles soulager la pression de capacité sur vos installations d' alimentation ?,4799079897206870478,1.0,reference word
ADJ,possible,possible,0,Serait -il possible de limiter le menu afin de réduire les coûts d' alimentation ?,Serait -il possible de limiter le menu afin de réduire les coûts d' alimentation ?,-1989995860981154541,1.0,lone candidate
ADJ,progressif,progressif,0,Avez -vous envisagé le retrait progressif de subventions à vos activités d' alimentation de plantes ?,Avez -vous envisagé le retrait progressif de subventions à vos activités d' alimentation de plantes ?,4396903245792998500,1.0,lone candidate
VERB,Utilisez,utiliser,0,Utilisez -vous l' espace cafétéria pour des réunions d' entreprise ou des discussions ?,Utilisez -vous l' espace cafétéria pour des réunions d' entreprise ou des discussions ?,352536264044310162,0.95,"The word ""Utilisez"" in both contexts is the French verb ""utiliser,"" which means ""to use"" in English. In both contexts, the verb is used in the same sense of employing or making use of something. 

- In context_1, ""Utilisez"" refers to using economical printing methods and materials.
- In context_2, ""Utilisez"" refers to using the cafeteria space for meetings or discussions.

The core meaning of ""utiliser"" as ""to use"" remains consistent across both contexts, even though the objects being used (printing methods and cafeteria space) are different.

Therefore, the probability that ""Utilisez"" has the same meaning in both contexts is very high, close to 100%."
NOUN,domaine,domaine,0,Vos dépenses dans ce domaine sont -elles proportionnelles à nombre d' employés qui bénéficient de votre programme ?,Vos dépenses dans ce domaine sont -elles proportionnelles à nombre d' employés qui bénéficient de votre programme ?,-8511492441953768938,1.0,lone candidate
NOUN,programme,programme,0,Avez -vous vérifié votre programme récemment pour éliminer les phases qui attirent le moins de participation ?,Avez -vous vérifié votre programme récemment pour éliminer les phases qui attirent le moins de participation ?,1994213874758650300,1.0,reference word
NOUN,argent,argent,0,Les employés versent -ils leur part d' argent à installations récréatives ?,Les employés versent -ils leur part d' argent à installations récréatives ?,4125707817384821083,1.0,reference word
NOUN,responsabilité,responsabilité,0,Avez -vous envisagé de déléguer la responsabilité opérationnelle à votre association d' employés et de limiter soigneusement la contribution financière de votre usine ?,Avez -vous envisagé de déléguer la responsabilité opérationnelle à votre association d' employés et de limiter soigneusement la contribution financière de votre usine ?,-4823361384897199435,1.0,lone candidate
NOUN,club,club,0,Le club de jardinage d' un employé pourrait -il prendre en charge partiellement le terrain végétal ?,Le club de jardinage d' un employé pourrait -il prendre en charge partiellement le terrain végétal ?,-8243231240044452284,1.0,reference word
NOUN,club,club,0,Un camera club serait -il utile pour prendre des photos pertinentes à la sécurité de installations ?,Un camera club serait -il utile pour prendre des photos pertinentes à la sécurité de installations ?,-8243231240044452284,0.9,"The word ""club"" in both contexts refers to a group or association of people with a common interest or activity. In context_1, ""club"" refers to a gardening club, which is a group of people interested in gardening. In context_2, ""club"" refers to a camera club, which is a group of people interested in photography. Although the specific interests of the clubs differ, the fundamental meaning of ""club"" as an organized group of people with a shared interest is the same in both contexts.

Therefore, the probability that ""club"" has the same meaning in both contexts is high, around 90%."
ADV,trop,trop,0,Est -ce que vous dépensez trop d' argent en uniformes d' équipe qui ne profitent qu' à quelques employés ?,Est -ce que vous dépensez trop d' argent en uniformes d' équipe qui ne profitent qu' à quelques employés ?,1178289337099408429,0.8,"The word ""trop"" in French can have different meanings depending on the context. In the first context, ""trop"" is used in the phrase ""trop gratuit,"" which seems to be a non-standard or possibly incorrect usage, as ""trop"" typically means ""too"" or ""too much"" and is used to indicate an excess. It might imply that the service is excessively free, but this is not a common expression.

In the second context, ""trop"" is used in the phrase ""trop d' argent,"" which clearly means ""too much money,"" indicating an excess of spending.

Given these contexts, the word ""trop"" in both cases is used to indicate an excess, but the first context is less clear and might be a misuse or a non-standard expression. However, the core meaning of ""trop"" as indicating excess is consistent in both contexts.

Therefore, the probability that ""trop"" has the same meaning in both contexts is relatively high, but not absolute due to the ambiguity in the first context. I would estimate the probability at around 80%."
NOUN,équipe,équipe,0,Êtes -vous en train de souscrire des voyages d' équipe coûteux ?,Êtes -vous en train de souscrire des voyages d' équipe coûteux ?,8014815508023276150,1.0,lone candidate
VERB,Utilisez,utiliser,0,Utilisez -vous le produit de distributeur automatique pour aider à payer votre programme ?,Utilisez -vous le produit de distributeur automatique pour aider à payer votre programme ?,352536264044310162,0.95,"The word ""Utilisez"" in both contexts is the French verb ""utiliser,"" which means ""to use"" in English. In both contexts, the verb is used in the same sense of employing or making use of something. 

- In context_1, ""Utilisez-vous les méthodes d'impression les plus économiques, papier, etc.,"" the verb refers to using economical printing methods and materials.
- In context_2, ""Utilisez-vous le produit de distributeur automatique pour aider à payer votre programme ?"" the verb refers to using the product from a vending machine to help pay for a program.

Both instances involve the act of using or employing something for a specific purpose. Therefore, the probability that ""Utilisez"" has the same meaning in both contexts is very high.

Probability: 95%"
NOUN,coût,coût,0,Connaissez -vous la tendance de votre coût d' entretien de routes d' accès et des parkings ?,Connaissez -vous la tendance de votre coût d' entretien de routes d' accès et des parkings ?,-9084010777046016504,1.0,lone candidate
VERB,utilisez,utiliser,0,"Si vous utilisez des agents de stationnement , peuvent -ils être remplacés par des portes de stationnement automatiques ?","Si vous utilisez des agents de stationnement , peuvent -ils être remplacés par des portes de stationnement automatiques ?",352536264044310162,0.95,"The words ""Utilisez"" and ""utilisez"" are both forms of the French verb ""utiliser,"" which means ""to use"" in English. In both contexts provided, the verb is used in the second person plural form (vous) and refers to the act of using something. 

In context_1, ""Utilisez-vous les méthodes d'impression les plus économiques, papier, etc."" translates to ""Do you use the most economical printing methods, paper, etc.?"" Here, ""utilisez"" refers to the act of using economical printing methods.

In context_2, ""Si vous utilisez des agents de stationnement, peuvent-ils être remplacés par des portes de stationnement automatiques?"" translates to ""If you use parking attendants, can they be replaced by automatic parking gates?"" Here, ""utilisez"" refers to the act of using parking attendants.

In both contexts, the verb ""utiliser"" is used in the sense of employing or making use of something. Therefore, the probability that ""Utilisez"" and ""utilisez"" have the same meaning in these contexts is very high.

Probability: 95%"
VERB,fournissez,fournir,0,"Si vous fournissez des transports inter-usines , peut -on remplacer cela par les transports publics disponibles ?","Si vous fournissez des transports inter-usines , peut -on remplacer cela par les transports publics disponibles ?",3380227814939646842,1.0,lone candidate
VERB,utilisez,utiliser,0,"Si vous utilisez le transport d' entreprise pour rencontrer des trains ou pour transporter des visiteurs , les taxis seraient -ils moins chers ?","Si vous utilisez le transport d' entreprise pour rencontrer des trains ou pour transporter des visiteurs , les taxis seraient -ils moins chers ?",352536264044310162,0.95,"The words ""Utilisez"" and ""utilisez"" are both forms of the French verb ""utiliser,"" which means ""to use"" in English. In both contexts provided, the verb is used in the sense of employing or making use of something. 

- In context_1, ""Utilisez-vous les méthodes d'impression les plus économiques, papier, etc."" translates to ""Do you use the most economical printing methods, paper, etc.?"" Here, ""utilisez"" refers to the act of using economical printing methods.
  
- In context_2, ""Si vous utilisez le transport d'entreprise pour rencontrer des trains ou pour transporter des visiteurs, les taxis seraient-ils moins chers ?"" translates to ""If you use company transport to meet trains or to transport visitors, would taxis be cheaper?"" Here, ""utilisez"" refers to the act of using company transport.

In both contexts, the verb ""utiliser"" is used in the sense of employing or making use of something. Therefore, the probability that they have the same meaning in a dictionary is very high.

Probability: 95%"
NOUN,véhicules,véhicule,0,Quelle est l' efficacité et la nécessité de vos véhicules intra-entreprises ?,Quelle est l' efficacité et la nécessité de vos véhicules intra-entreprises ?,-9202306420213972,1.0,lone candidate
NOUN,conducteurs,conducteur,0,Les conducteurs à temps partiel peuvent -ils être affectés à d' autres travaux productifs ?,Les conducteurs à temps partiel peuvent -ils être affectés à d' autres travaux productifs ?,-3882316127730761927,1.0,lone candidate
ADV,plus,plus,0,Quel est le plus économique pour votre usine - une fermeture de vacances ou des vacances espacées qui nécessitent des employés supplémentaires pour les remplissages de vacances ?,Quel est le plus économique pour votre usine - une fermeture de vacances ou des vacances espacées qui nécessitent des employés supplémentaires pour les remplissages de vacances ?,2267137018133749379,1.0,lone candidate
NOUN,vacances,vacances,0,Les vacances peuvent -elles être espacées tout à long de 12 mois pour réduire à minimum le nombre d' employés à remplir ?,Les vacances peuvent -elles être espacées tout à long de 12 mois pour réduire à minimum le nombre d' employés à remplir ?,279961264637329955,0.95,"The word ""vacances"" in French typically means ""holidays"" or ""vacation."" In both contexts provided, ""vacances"" is used in a similar sense related to time off from work or regular duties.

In context_1, ""vacances"" refers to additional holidays or vacation time that might be limited to a specific area or industrial models. In context_2, ""vacances"" refers to holidays or vacation time that could be spread throughout the year to minimize the number of employees needed at any given time.

Both contexts involve the concept of vacation time in a work-related setting, focusing on the management or scheduling of such time. Therefore, the probability that ""vacances"" has the same meaning in both contexts is very high.

Probability: 95%"
VERB,Insistez,insister,0,Insistez -vous pour que les salariés inutiles prennent leurs vacances pendant les fermetures d' usines ?,Insistez -vous pour que les salariés inutiles prennent leurs vacances pendant les fermetures d' usines ?,-2476179864093287381,1.0,lone candidate
NOUN,périodes,période,0,"Que peuvent faire vos services de vente et d' achat pour réduire les commandes , les expéditions et les reçus pendant les périodes d' arrêt de vacances ?","Que peuvent faire vos services de vente et d' achat pour réduire les commandes , les expéditions et les reçus pendant les périodes d' arrêt de vacances ?",4799079897206870478,0.7,"The word ""périodes"" in both contexts refers to a span of time, but the specific meanings differ slightly based on the context:

1. In context_1, ""périodes"" refers to time slots or intervals during which meals are served. It implies a scheduling aspect related to meal times.

2. In context_2, ""périodes"" refers to time frames or durations, specifically those associated with holiday shutdowns. It implies a period when normal operations are paused or reduced.

While both usages involve the concept of time, the specific applications differ: one is about scheduling within a day, and the other is about a broader time frame related to holidays.

Given these nuances, the probability that ""périodes"" has the exact same meaning in both contexts is moderate. They share a general sense of ""time period,"" but the specific implications differ.

Probability: 70%"
NOUN,âge,âge,0,Un âge de retraite arbitraire de 65 ans coûte -t -il de l' argent à votre plante ?,Un âge de retraite arbitraire de 65 ans coûte -t -il de l' argent à votre plante ?,-8504056385047086210,1.0,reference word
ADJ,âgés,âgé,0,Quel genre d' effort faites -vous pour vous assurer que les travailleurs âgés ou handicapés sont pleinement productifs ?,Quel genre d' effort faites -vous pour vous assurer que les travailleurs âgés ou handicapés sont pleinement productifs ?,-4000066554864488904,1.0,reference word
ADJ,handicapés,handicapé,0,La retraite anticipée de employés non productifs et handicapés réduirait -elle le nombre d' emplois créés ?,La retraite anticipée de employés non productifs et handicapés réduirait -elle le nombre d' emplois créés ?,7517679047527629102,1.0,lone candidate
NOUN,syndicat,syndicat,0,Votre syndicat acceptera -t -il des concessions d' ancienneté dans l' attribution de travail à employés âgés ou handicapés ?,Votre syndicat acceptera -t -il des concessions d' ancienneté dans l' attribution de travail à employés âgés ou handicapés ?,-3438093857577677533,0.95,"The word ""syndicat"" in both contexts refers to a labor union or trade union. In context_1, it is about negotiating with the union regarding employee benefits and wages. In context_2, it concerns the union's stance on seniority concessions for work assignments to older or disabled employees. Both contexts involve the role of a union in labor relations and negotiations. Therefore, the probability that ""syndicat"" has the same meaning in both contexts is very high.

Probability: 95%"
NOUN,installations,installation,0,Pouvez -vous partager les installations médicales et le personnel avec les plantes voisines ?,Pouvez -vous partager les installations médicales et le personnel avec les plantes voisines ?,4712737509032110176,1.0,lone candidate
VERB,sert,servir,0,"Si vous avez un médecin à temps plein maintenant , peut -il être remplacé par un médecin à temps partiel ou celui qui sert sur une base de frais par cas seulement ?","Si vous avez un médecin à temps plein maintenant , peut -il être remplacé par un médecin à temps partiel ou celui qui sert sur une base de frais par cas seulement ?",-2249507274773255557,1.0,lone candidate
NOUN,infirmière,infirmier,0,Votre infirmière d' usine peut -elle être remplacée par un secouriste qualifié qui travaille à plein temps sur une autre mission ?,Votre infirmière d' usine peut -elle être remplacée par un secouriste qualifié qui travaille à plein temps sur une autre mission ?,227326150248123209,1.0,lone candidate
VERB,traiter,traiter,0,Faites -vous une distinction rigide entre les problèmes de santé liés à travail et les problèmes de santé non liés à travail et évitez de traiter ces derniers ?,Faites -vous une distinction rigide entre les problèmes de santé liés à travail et les problèmes de santé non liés à travail et évitez de traiter ces derniers ?,-5790850066925328655,1.0,lone candidate
ADJ,médicaux,médical,0,"Offrez -vous indifféremment des services médicaux inutiles - coups de grippe , traitements de la lampe solaire , etc ?","Offrez -vous indifféremment des services médicaux inutiles - coups de grippe , traitements de la lampe solaire , etc ?",-5816222671807271961,1.0,lone candidate
NOUN,programme,programme,0,"Si vous avez un programme d' examen physique annuel ou régulier , est -ce que cela vaut ce qu' il vous coûte ?","Si vous avez un programme d' examen physique annuel ou régulier , est -ce que cela vaut ce qu' il vous coûte ?",1994213874758650300,0.8,"The word ""programme"" in both contexts is used in French, and it can have different meanings based on the context. 

In context_1, ""programme"" refers to a schedule or plan of activities, likely in the context of an event or series of events where participation is measured.

In context_2, ""programme"" refers to a regular or scheduled activity, specifically a routine or plan for physical examinations.

Both contexts involve the idea of a planned series of activities or events, but the specific applications differ: one is about participation in events, and the other is about a routine health check-up. Despite these differences, the core meaning of ""programme"" as a planned series of activities is consistent in both contexts.

Therefore, the probability that ""programme"" has the same meaning in both contexts is high, as they both refer to a structured plan or schedule. I would estimate the probability to be around 80%."
VERB,permettre,permettre,0,Considérez ce que vous pouvez vous permettre de dépenser et quels sont vos objectifs avant d' établir ou de rénover votre programme d' avantages sociaux de employés .,Considérez ce que vous pouvez vous permettre de dépenser et quels sont vos objectifs avant d' établir ou de rénover votre programme d' avantages sociaux de employés .,406374946543254636,0.8,"The words ""permis"" and ""permettre"" are related in that ""permis"" is a past participle form of the verb ""permettre."" In the given contexts, ""permis"" is used in the sense of having allowed or enabled something to happen, while ""permettre"" is used in the sense of being able to afford or allow oneself to do something. Despite the different contexts, both words share the core meaning of allowing or enabling. Therefore, the probability that they have the same meaning in a dictionary is high, around 80%."
VERB,acheter,acheter,0,Trop de responsables d' usine sont tous trop impatients d' acheter un programme de forfait d' une compagnie d' assurance simplement parce qu' il fonctionne pour une autre usine .,Trop de responsables d' usine sont tous trop impatients d' acheter un programme de forfait d' une compagnie d' assurance simplement parce qu' il fonctionne pour une autre usine .,8834601107163132285,1.0,lone candidate
VERB,emploie,employer,0,"Mais même si cette autre usine emploie le même nombre de travailleurs et fait le même produit , il ya d' autres faits à considérer .","Mais même si cette autre usine emploie le même nombre de travailleurs et fait le même produit , il ya d' autres faits à considérer .",-7491185868152249137,1.0,lone candidate
NOUN,pays,pays,0,Dans quelle partie de pays êtes -vous situé ?,Dans quelle partie de pays êtes -vous situé ?,6828927816828013152,1.0,lone candidate
NOUN,programme,programme,0,Ces facteurs peuvent faire la différence entre le gaspillage et l' efficacité dans tout programme d' avantages .,Ces facteurs peuvent faire la différence entre le gaspillage et l' efficacité dans tout programme d' avantages .,1994213874758650300,0.8,"The word ""programme"" in both contexts is used in French, and it generally translates to ""program"" or ""schedule"" in English. In context_1, ""programme"" refers to a schedule or plan of activities or phases that might attract participation. In context_2, ""programme"" refers to a benefits program, which is a structured plan or system designed to provide advantages or benefits.

While both contexts involve the concept of a structured plan or system, the specific applications differ: one is about a schedule of activities, and the other is about a benefits system. Despite these differences, the core meaning of ""programme"" as a structured plan or system is consistent in both contexts.

Therefore, the probability that ""programme"" has the same meaning in both contexts is relatively high, as they both refer to a structured plan or system, albeit in different applications.

Probability: 80%"
ADV,Surtout,surtout,0,"Surtout , ne pas mettre en place de avantages marginaux extravagants juste pour acheter la bonne volonté de employés .","Surtout , ne pas mettre en place de avantages marginaux extravagants juste pour acheter la bonne volonté de employés .",3090661643705014908,1.0,lone candidate
NOUN,syndicats,syndicat,0,"Les syndicats insistent sur les avantages sociaux , mais le travailleur horaire individuel préfère l' argent à chaque fois .","Les syndicats insistent sur les avantages sociaux , mais le travailleur horaire individuel préfère l' argent à chaque fois .",-3438093857577677533,1.0,"The words ""syndicat"" and ""syndicats"" are the singular and plural forms of the same noun in French, meaning ""union"" and ""unions,"" respectively. In both contexts provided, the words refer to labor unions, which are organizations that represent the collective interests of workers in negotiations with employers. Given that the contexts both involve discussions about employee benefits and wages, the probability that ""syndicat"" and ""syndicats"" have the same meaning in a dictionary is very high. Therefore, the probability is 100%."
VERB,équilibrer,équilibrer,0,Objectif d' équilibrer votre régime d' avantages sociaux de employés .,Objectif d' équilibrer votre régime d' avantages sociaux de employés .,3630141133558156520,1.0,lone candidate
ADJ,libéral,libéral,0,Certaines plantes vont par-dessus bord sur un type de frange - disons un régime de retraite libéral - et se trouvent vulnérables ailleurs .,Certaines plantes vont par-dessus bord sur un type de frange - disons un régime de retraite libéral - et se trouvent vulnérables ailleurs .,8648399799562289277,1.0,lone candidate
NOUN,programme,programme,1,"Si vous voulez de crédit pour votre programme de services à employés , faites savoir à vos travailleurs à quoi ils ont droit .","Si vous voulez de crédit pour votre programme de services à employés , faites savoir à vos travailleurs à quoi ils ont droit .",4103497247876280597,0.1,"The word ""programme"" in both contexts is used in French, and it can have different meanings based on the context. 

In context_1, ""programme"" refers to a schedule or plan of activities, likely in the sense of an agenda or itinerary that includes various phases or events. The focus is on reviewing and possibly modifying this schedule to improve participation.

In context_2, ""programme"" refers to a set of services or benefits offered to employees, likely as part of a workplace benefits package or employee assistance program. The focus here is on informing employees about the services they are entitled to.

Given these contexts, the probability that ""programme"" has the same meaning in both contexts is low. In context_1, it refers to a schedule or plan of activities, while in context_2, it refers to a set of services or benefits. Therefore, the probability that they have the same meaning is approximately 10%."
NOUN,histoires,histoire,0,"Cela peut se faire par des histoires dans les organes de votre maison , des affiches , des publications spéciales , des lettres à maisons de travailleurs ainsi que par le bouche à oreille à travers votre chaîne de commandement .","Cela peut se faire par des histoires dans les organes de votre maison , des affiches , des publications spéciales , des lettres à maisons de travailleurs ainsi que par le bouche à oreille à travers votre chaîne de commandement .",-8844810312523576242,1.0,lone candidate
NOUN,entreprises,entreprise,0,Certaines entreprises trouvent un peu d' imagination utile .,Certaines entreprises trouvent un peu d' imagination utile .,649478414595828950,1.0,lone candidate
